test_id,gene_id,gene,locus,isoform_status,CIML,MIML,log2FoldChange,p_value,q_value,significant
LNC_000079,XLOC_006335,-,10:9554737-9582565,lncRNA_Novel,0.459085,1.27503,-1.4737,5.00E-05,0.00091007,Down
LNC_000363,XLOC_026334,-,16:74977689-74993175,lncRNA_Novel,2.37947,6.99254,-1.55518,5.00E-05,0.00091007,Down
LNC_000329,XLOC_024467,-,16:6522171-6529992,lncRNA_Novel,2.89162,6.05667,-1.06664,5.00E-05,0.00091007,Down
ENSMUST00000208630,ENSMUSG00000109125,Gm45159,7:90887071-90940052,lncRNA_annotated,1.8125,3.20358,-0.821706,5.00E-05,0.00091007,Down
LNC_000298,XLOC_023357,-,15:60128268-60187424,lncRNA_Novel,4.49876,0,inf,5.00E-05,0.00091007,Up
LNC_000427,XLOC_028985,-,17:84037035-84046049,lncRNA_Novel,0.546429,0,inf,5.00E-05,0.00091007,Up
ENSMUST00000222087,ENSMUSG00000031838,Ifi30,8:70762773-70766663,lncRNA_annotated,90.2637,2.82026,5.00025,5.00E-05,0.00091007,Up
ENSMUST00000221311,ENSMUSG00000029878,Dbpht2,12:74296667-74302008,lncRNA_annotated,8.20322,18.9117,-1.20502,5.00E-05,0.00091007,Down
ENSMUST00000214634,ENSMUSG00000111080,AC153899.1,10:30603194-30606634,lncRNA_annotated,9.75078,19.8945,-1.02878,5.00E-05,0.00091007,Down
ENSMUST00000223604,ENSMUSG00000114784,CT009713.9,13:37581076-37589313,lncRNA_annotated,1.39396,0,inf,5.00E-05,0.00091007,Up
ENSMUST00000099676,ENSMUSG00000075010,AW112010,19:11047616-11050566,lncRNA_annotated,225.786,1.59853,7.14206,5.00E-05,0.00091007,Up
ENSMUST00000204642,ENSMUSG00000107879,9330102E08Rik,6:128169703-128183803,lncRNA_annotated,3.05292,10.3406,-1.76006,5.00E-05,0.00091007,Down
LNC_000715,XLOC_048571,-,5:53416903-53439868,lncRNA_Novel,0.651368,0,inf,5.00E-05,0.00091007,Up
LNC_000550,XLOC_035105,-,2:10968911-10979389,lncRNA_Novel,0.727396,0,inf,5.00E-05,0.00091007,Up
ENSMUST00000205047,ENSMUSG00000108084,Gm7932,6:48860328-48866083,lncRNA_annotated,1.43576,0.25499,2.4933,5.00E-05,0.00091007,Up
LNC_000848,XLOC_060563,-,8:72548426-72559917,lncRNA_Novel,1.51274,2.89389,-0.935849,5.00E-05,0.00091007,Down
LNC_000941,XLOC_069764,-,X:157806158-157820369,lncRNA_Novel,18.0233,39.7244,-1.14017,5.00E-05,0.00091007,Down
ENSMUST00000201831,ENSMUSG00000106734,Gm20559,6:3333193-3346071,lncRNA_annotated,14.0664,0.587776,4.58084,5.00E-05,0.00091007,Up
LNC_000780,XLOC_053959,-,7:3416742-3423445,lncRNA_Novel,9.73397,25.5542,-1.39246,5.00E-05,0.00091007,Down
ENSMUST00000206829,ENSMUSG00000108616,Gm35040,7:79536042-79560033,lncRNA_annotated,4.37605,9.49968,-1.11825,5.00E-05,0.00091007,Down
ENSMUST00000181289,ENSMUSG00000097604,Gm17322,9:57998040-58027023,lncRNA_annotated,1.46686,4.8452,-1.72382,0.0001,0.00169531,Down
LNC_000318,XLOC_024244,-,16:5885008-5886636,lncRNA_Novel,5.69594,12.4493,-1.12806,0.0001,0.00169531,Down
ENSMUST00000221438,ENSMUSG00000113184,AC125351.1,12:81717829-81720052,lncRNA_annotated,8.30472,15.5073,-0.900943,0.0001,0.00169531,Down
ENSMUST00000212253,ENSMUSG00000110618,Gm39822,11:51898965-51909624,lncRNA_annotated,0.98688,3.03416,-1.62035,0.0001,0.00169531,Down
ENSMUST00000194767,ENSMUSG00000102155,Gm37468,3:15495750-15575065,lncRNA_annotated,0.882465,0,inf,0.0001,0.00169531,Up
ENSMUST00000187286,ENSMUSG00000100851,Gm28928,1:124505756-124846039,lncRNA_annotated,3.12081,8.61159,-1.46436,0.00015,0.00241856,Down
ENSMUST00000182592,ENSMUSG00000094002,Gm9866,12:27134079-27160633,lncRNA_annotated,0.957321,2.41603,-1.33556,0.00015,0.00241856,Down
LNC_000548,XLOC_034986,-,2:181721479-181733962,lncRNA_Novel,0.235065,0.58335,-1.3113,0.0002,0.00308564,Down
LNC_000364,XLOC_026338,-,16:75006358-75036743,lncRNA_Novel,1.48642,4.07771,-1.45591,0.0002,0.00308564,Down
ENSMUST00000200021,ENSMUSG00000105361,AY036118,17:39847112-39848035,lncRNA_annotated,9.30702,2.60323,1.83802,0.0002,0.00308564,Up
LNC_000531,XLOC_033791,-,2:92058639-92062942,lncRNA_Novel,4.55427,8.92111,-0.970002,0.0002,0.00308564,Down
ENSMUST00000163493,ENSMUSG00000091475,2810468N07Rik,17:25570810-25575043,lncRNA_annotated,9.07849,18.3714,-1.01694,0.0002,0.00308564,Down
LNC_000648,XLOC_043407,-,4:150029847-150046972,lncRNA_Novel,0.29655,0.751932,-1.34233,0.0002,0.00308564,Down
ENSMUST00000200255,ENSMUSG00000104597,B230334C09Rik,3:158036661-158076112,lncRNA_annotated,11.8029,35.8483,-1.60276,0.0002,0.00308564,Down
ENSMUST00000181489,ENSMUSG00000097814,Panct2,1:96872220-96881234,lncRNA_annotated,0.39327,1.13863,-1.53371,0.00025,0.00371881,Down
ENSMUST00000136359,ENSMUSG00000000031,H19,7:142575528-142578143,lncRNA_annotated,3.09205,0.241017,3.68136,0.0003,0.00437165,Up
ENSMUST00000212800,ENSMUSG00000110710,C78859,8:94322157-94328100,lncRNA_annotated,4.08204,7.09673,-0.797862,0.0003,0.00437165,Down
LNC_000326,XLOC_024458,-,16:6490876-6499987,lncRNA_Novel,6.03267,10.6098,-0.814524,0.00035,0.00498995,Down
ENSMUST00000195193,ENSMUSG00000103217,Gm38287,2:25180757-25183339,lncRNA_annotated,3.05504,7.27159,-1.25108,0.00035,0.00498995,Down
LNC_000406,XLOC_028299,-,17:29430267-29437310,lncRNA_Novel,0.495216,0.029973,4.04632,0.0004,0.0055682,Up
ENSMUST00000182785,ENSMUSG00000098202,B830012L14Rik,12:109695585-109702587,lncRNA_annotated,1.79129,3.60231,-1.00792,0.00045,0.00615714,Down
LNC_000331,XLOC_024496,-,16:6618194-6621725,lncRNA_Novel,2.45595,4.85627,-0.983568,0.00045,0.00615714,Down
ENSMUST00000220757,ENSMUSG00000113429,CT030140.1,12:61499659-61521820,lncRNA_annotated,0.853602,3.42211,-2.00325,0.0005,0.00673978,Down
LNC_000349,XLOC_025815,-,16:28485730-28494673,lncRNA_Novel,0.872812,1.87863,-1.10594,0.0005,0.00673978,Down
ENSMUST00000181730,ENSMUSG00000097872,Gm26702,2:25575415-25581757,lncRNA_annotated,18.1,29.8701,-0.722711,0.00055,0.00727662,Down
LNC_000220,XLOC_020888,-,14:57520195-57543166,lncRNA_Novel,1.64142,3.43018,-1.06334,0.00055,0.00727662,Down
ENSMUST00000182981,ENSMUSG00000097451,Rian,12:109603939-109661716,lncRNA_annotated,87.466,217.086,-1.31147,0.00055,0.00727662,Down
LNC_000624,XLOC_041668,-,4:8869236-8881674,lncRNA_Novel,0.515549,0.171672,1.58646,0.0006,0.00783636,Up
ENSMUST00000181927,ENSMUSG00000097870,Gm26868,9:56606692-56614473,lncRNA_annotated,0.282694,1.00588,-1.83115,0.00065,0.00838837,Down
ENSMUST00000181054,ENSMUSG00000097182,A830009L08Rik,13:91368989-91388085,lncRNA_annotated,0.395755,1.39206,-1.81454,0.00065,0.00838837,Down
LNC_000039,XLOC_002784,-,1:40050482-40054501,lncRNA_Novel,0.223563,0.73668,-1.72035,0.0007,0.00893417,Down
LNC_000324,XLOC_024400,-,16:6380257-6387270,lncRNA_Novel,1.78055,4.00597,-1.16983,0.00075,0.00947876,Down
LNC_000864,XLOC_061406,-,8:15860238-15889675,lncRNA_Novel,0.202305,0.727757,-1.84692,0.00075,0.00947876,Down
ENSMUST00000136217,ENSMUSG00000085069,Gm13111,4:154637575-154644724,lncRNA_annotated,1.46712,3.31616,-1.17652,0.00075,0.00947876,Down
LNC_000675,XLOC_045149,-,4:124550558-124586099,lncRNA_Novel,0.865137,1.87142,-1.11313,0.0009,0.0110707,Down
LNC_000399,XLOC_027951,-,17:13176918-13182133,lncRNA_Novel,0.231545,0.712439,-1.62148,0.0009,0.0110707,Down
ENSMUST00000130256,ENSMUSG00000085133,B930095G15Rik,14:121035199-121283744,lncRNA_annotated,10.1989,20.5765,-1.01258,0.001,0.0120841,Down
LNC_000819,XLOC_058142,-,7:60796482-60877755,lncRNA_Novel,0.789195,1.6353,-1.0511,0.00105,0.0125574,Down
ENSMUST00000204412,ENSMUSG00000108228,6430584L05Rik,6:55396886-55412285,lncRNA_annotated,0.483268,1.77251,-1.87489,0.00105,0.0125574,Down
ENSMUST00000189581,ENSMUSG00000100826,Snhg14,7:59937370-59975759,lncRNA_annotated,15.5343,25.2577,-0.701259,0.0011,0.0130302,Down
ENSMUST00000037953,ENSMUSG00000037735,2810032G03Rik,12:5375869-5416305,lncRNA_annotated,2.44195,4.85504,-0.991451,0.0011,0.0130302,Down
ENSMUST00000146010,ENSMUSG00000087590,Epb41l4aos,18:33794891-33795986,lncRNA_annotated,29.3423,10.3752,1.49984,0.00115,0.0135461,Up
ENSMUST00000219259,ENSMUSG00000112478,AC153370.2,10:17318084-17323228,lncRNA_annotated,5.11044,2.13334,1.26034,0.0012,0.0140124,Up
ENSMUST00000209115,ENSMUSG00000109006,B230209E15Rik,7:61529870-61615327,lncRNA_annotated,5.94763,12.3047,-1.04883,0.0012,0.0140124,Down
ENSMUST00000192173,ENSMUSG00000102336,Gm37233,1:34427001-34433264,lncRNA_annotated,0.81118,1.57613,-0.958293,0.0012,0.0140124,Down
ENSMUST00000156293,ENSMUSG00000056032,BC018473,11:116752166-116759373,lncRNA_annotated,2.57726,0.1553,4.05271,0.0012,0.0140124,Up
LNC_000019,XLOC_000831,-,1:77522264-77560578,lncRNA_Novel,0.147116,0.916378,-2.63899,0.0013,0.0149362,Down
ENSMUST00000185789,ENSMUSG00000101609,Kcnq1ot1,7:143106361-143427042,lncRNA_annotated,2.73096,4.25554,-0.639936,0.0014,0.0158629,Down
ENSMUST00000183317,ENSMUSG00000097993,Ptprv,1:135108497-135132594,lncRNA_annotated,0.459276,1.05478,-1.19951,0.0014,0.0158629,Down
ENSMUST00000206155,ENSMUSG00000108414,Snhg1,19:8723474-8726443,lncRNA_annotated,29.4646,8.91932,1.72398,0.00145,0.0163413,Up
ENSMUST00000217778,ENSMUSG00000112280,AC153962.3,10:33987426-33989295,lncRNA_annotated,2.8564,5.97315,-1.06429,0.00145,0.0163413,Down
LNC_000104,XLOC_008764,-,11:63619195-63620383,lncRNA_Novel,3.17209,0.267774,3.56635,0.0015,0.016781,Up
ENSMUST00000040608,ENSMUSG00000038917,3930402G23Rik,8:10924426-10928696,lncRNA_annotated,0.4706,0.0626235,2.90973,0.00155,0.017203,Up
ENSMUST00000208965,ENSMUSG00000045813,Gm9801,7:62094505-62209479,lncRNA_annotated,3.13783,5.55886,-0.825023,0.0016,0.0176299,Down
LNC_000365,XLOC_026338,-,16:75006358-75036743,lncRNA_Novel,1.00479,3.19729,-1.66995,0.0016,0.0176299,Down
LNC_000771,XLOC_053294,-,6:110541946-110553455,lncRNA_Novel,0.237973,0.584803,-1.29715,0.0016,0.0176299,Down
ENSMUST00000196693,ENSMUSG00000072769,Gm10419,5:108366072-108378239,lncRNA_annotated,8.49794,17.7036,-1.05886,0.00165,0.0180565,Down
LNC_000314,XLOC_023768,-,15:85604003-85607527,lncRNA_Novel,0.300653,1.00321,-1.73846,0.0017,0.0184714,Down
ENSMUST00000180639,ENSMUSG00000097915,A330009N23Rik,15:101221195-101224121,lncRNA_annotated,2.45938,5.62852,-1.19446,0.0017,0.0184714,Down
ENSMUST00000134140,ENSMUSG00000089726,Mir17hg,14:115042878-115046727,lncRNA_annotated,0.915655,0.347616,1.39731,0.00175,0.0189047,Up
LNC_000322,XLOC_024383,-,16:6329896-6339182,lncRNA_Novel,1.23152,2.4004,-0.962834,0.0018,0.019364,Down
LNC_000227,XLOC_021139,-,14:76392787-76410920,lncRNA_Novel,0.353861,0.647482,-0.871659,0.00185,0.0197879,Down
LNC_000809,XLOC_057553,-,7:36655115-36697602,lncRNA_Novel,0.360967,1.3003,-1.84891,0.0019,0.0202582,Down
ENSMUST00000181107,ENSMUSG00000097736,9530059O14Rik,9:122572498-122678965,lncRNA_annotated,1.73396,4.43571,-1.35509,0.0019,0.0202582,Down
ENSMUST00000202826,ENSMUSG00000106847,Peg13,15:72589620-73061204,lncRNA_annotated,50.0164,82.5746,-0.723298,0.00195,0.0206733,Down
ENSMUST00000189929,ENSMUSG00000055972,2810407A14Rik,16:87787571-87839293,lncRNA_annotated,0.0802855,0.557377,-2.79544,0.002,0.0210771,Down
ENSMUST00000138406,ENSMUSG00000085565,Gm15721,5:147949881-147957166,lncRNA_annotated,0.367214,0.944382,-1.36275,0.002,0.0210771,Down
ENSMUST00000221040,ENSMUSG00000114117,AC156572.2,13:62813968-62815523,lncRNA_annotated,2.71711,0.666593,2.02719,0.00215,0.0223773,Up
LNC_000745,XLOC_051182,-,6:95905307-95922964,lncRNA_Novel,0.0871267,0.491895,-2.49716,0.0023,0.0237037,Down
LNC_000486,XLOC_030260,-,18:16039366-16115344,lncRNA_Novel,0.166304,0.5358,-1.68787,0.0025,0.025422,Down
ENSMUST00000147681,ENSMUSG00000078122,F630028O10Rik,X:96239925-96243636,lncRNA_annotated,1.37696,0.213828,2.68697,0.00255,0.0258133,Up
ENSMUST00000197200,ENSMUSG00000104586,4921539H07Rik,3:58117052-58167616,lncRNA_annotated,0.293618,1.14149,-1.95891,0.0026,0.0262168,Down
LNC_000035,XLOC_002596,-,1:30120172-30122900,lncRNA_Novel,0.168363,0.859391,-2.35174,0.00265,0.0266092,Down
LNC_000215,XLOC_019920,-,14:111714860-111718447,lncRNA_Novel,0.644302,1.56332,-1.2788,0.00285,0.0282463,Down
ENSMUST00000211925,ENSMUSG00000110447,Gm31518,8:95593421-95613932,lncRNA_annotated,0.136809,0.720695,-2.39722,0.0029,0.0286573,Down
ENSMUST00000222575,ENSMUSG00000113424,AL607131.1,13:30336440-30382867,lncRNA_annotated,76.4485,49.5495,0.625616,0.003,0.0294809,Up
LNC_000342,XLOC_025211,-,16:72027502-72146066,lncRNA_Novel,1.39566,3.87115,-1.47181,0.00315,0.0306947,Down
ENSMUST00000126401,ENSMUSG00000086905,Gm13716,2:85196931-85198675,lncRNA_annotated,5.8554,12.2463,-1.0645,0.0034,0.0325459,Down
LNC_000071,XLOC_005835,-,10:102399531-102402168,lncRNA_Novel,0.726036,1.72371,-1.24741,0.00355,0.0337607,Down
ENSMUST00000194706,ENSMUSG00000104222,Gm7292,6:117716341-117718868,lncRNA_annotated,17.5978,29.1947,-0.730307,0.0036,0.0341299,Down
ENSMUST00000181446,ENSMUSG00000096972,Gm26883,2:169633012-170071816,lncRNA_annotated,6.46511,10.1986,-0.657624,0.00365,0.0345067,Down
ENSMUST00000181242,ENSMUSG00000097312,Gm26870,9:3000281-3021593,lncRNA_annotated,5.82011,2.45089,1.24774,0.0037,0.0348519,Up
ENSMUST00000144029,ENSMUSG00000084898,Gm12371,4:36952965-36988032,lncRNA_annotated,1.52192,4.76405,-1.64629,0.00395,0.0366118,Down
ENSMUST00000180613,ENSMUSG00000096954,Gdap10,12:32820334-32853349,lncRNA_annotated,6.62979,1.61157,2.04049,0.00395,0.0366118,Up
LNC_000282,XLOC_022855,-,15:102797500-102859796,lncRNA_Novel,0.215983,0.653989,-1.59835,0.00405,0.0373124,Down
LNC_000181,XLOC_017510,-,13:54942221-54949189,lncRNA_Novel,0.407746,0.939421,-1.2041,0.0041,0.0376184,Down
ENSMUST00000180955,ENSMUSG00000097452,Gm2824,15:24981619-25027358,lncRNA_annotated,0.441816,1.87324,-2.08402,0.00415,0.0378807,Down
ENSMUST00000180951,ENSMUSG00000097287,D130017N08Rik,5:143758353-143765810,lncRNA_annotated,1.81014,3.55431,-0.973469,0.00415,0.0378807,Down
ENSMUST00000156068,ENSMUSG00000018451,6330403K07Rik,11:71031940-71033513,lncRNA_annotated,69.8517,102.531,-0.553688,0.00425,0.0386048,Down
ENSMUST00000132101,ENSMUSG00000079070,Gm3985,8:32888504-32950026,lncRNA_annotated,0.301128,0.875546,-1.53981,0.00495,0.0435854,Down
LNC_000415,XLOC_028846,-,17:66233506-66266999,lncRNA_Novel,0.0838805,0.798417,-3.25074,0.00515,0.0450514,Down
ENSMUST00000181610,ENSMUSG00000096979,Gm26880,4:146502026-146539395,lncRNA_annotated,3.80047,1.73737,1.12927,0.0054,0.0467398,Up
ENSMUST00000199503,ENSMUSG00000106515,Gm30382,3:149284417-149445301,lncRNA_annotated,0.577142,1.67698,-1.53887,0.00545,0.0470998,Down
ENSMUST00000181126,ENSMUSG00000097596,Gm26673,6:126708331-126741601,lncRNA_annotated,7.54821,14.9281,-0.983822,0.00555,0.0478287,Down
LNC_000304,XLOC_023438,-,15:74298476-74487649,lncRNA_Novel,0.383183,1.6848,-2.13647,0.00575,0.0491741,Down
ENSMUST00000181848,ENSMUSG00000097824,Gm26593,X:21360864-21364622,lncRNA_annotated,2.7733,4.90784,-0.823485,0.00575,0.0491741,Down
ENSMUST00000189828,ENSMUSG00000099696,2900052N01Rik,9:46913492-46927366,lncRNA_annotated,4.27908,8.05545,-0.912664,0.0058,0.0494633,Down
ENSMUST00000181134,ENSMUSG00000097156,Gm3764,3:88206812-88225438,lncRNA_annotated,3.0192,5.55568,-0.8798,0.00615,0.0518432,FALSE
LNC_000551,XLOC_035175,-,2:17160270-17166957,lncRNA_Novel,0.340451,0.892232,-1.38997,0.0062,0.0521601,FALSE
ENSMUST00000224844,ENSMUSG00000114442,AC159264.1,13:67278576-67283361,lncRNA_annotated,0.59458,1.18686,-0.997208,0.00625,0.0524494,FALSE
ENSMUST00000181742,ENSMUSG00000097848,Gm807,13:99100705-99107580,lncRNA_annotated,1.0379,0.22629,2.19743,0.00655,0.0544909,FALSE
ENSMUST00000199941,ENSMUSG00000105987,AI506816,5:23700227-23712667,lncRNA_annotated,6.41781,1.40486,2.19166,0.00655,0.0544909,FALSE
ENSMUST00000209823,ENSMUSG00000110386,Gm42031,8:85125871-85132289,lncRNA_annotated,1.5345,0.531026,1.53091,0.0066,0.0547984,FALSE
LNC_000707,XLOC_048277,-,5:33976508-33983377,lncRNA_Novel,0.974009,1.63017,-0.743014,0.00675,0.0558095,FALSE
ENSMUST00000172910,ENSMUSG00000091562,Crybg3,16:59558012-59600886,lncRNA_annotated,4.34819,2.57201,0.757521,0.0068,0.0561401,FALSE
ENSMUST00000141710,ENSMUSG00000085713,Gm15736,5:113612353-113650426,lncRNA_annotated,0.793337,0,inf,0.0068,0.0561401,FALSE
ENSMUST00000143428,ENSMUSG00000086924,Gm11766,11:119935802-119942698,lncRNA_annotated,1.07686,2.14413,-0.993561,0.00685,0.0564697,FALSE
LNC_000580,XLOC_037201,-,2:171832851-171835033,lncRNA_Novel,0.510009,0.099255,2.36131,0.0071,0.0580325,FALSE
ENSMUST00000181309,ENSMUSG00000097823,Gm16701,1:166974022-167000841,lncRNA_annotated,2.71446,5.02904,-0.889615,0.00735,0.0596553,FALSE
LNC_000662,XLOC_044084,-,4:42721359-42735082,lncRNA_Novel,0.855418,3.49371,-2.03006,0.0075,0.0605657,FALSE
ENSMUST00000207602,ENSMUSG00000109450,Gm39043,7:83814706-83838345,lncRNA_annotated,0.264662,1.01252,-1.93572,0.0075,0.0605657,FALSE
ENSMUST00000218629,ENSMUSG00000111990,AC131720.1,10:102415882-102418014,lncRNA_annotated,1.00674,2.17069,-1.10846,0.00765,0.0615847,FALSE
LNC_000275,XLOC_022702,-,15:93824659-93850709,lncRNA_Novel,0.354998,0.768814,-1.11482,0.0077,0.0619427,FALSE
ENSMUST00000222959,ENSMUSG00000113032,AC158633.3,10:99719142-99891158,lncRNA_annotated,10.2492,14.846,-0.534564,0.00775,0.0622556,FALSE
ENSMUST00000199072,ENSMUSG00000106019,Gm43672,3:22074411-22076142,lncRNA_annotated,2.76517,5.13227,-0.892227,0.00795,0.0635131,FALSE
ENSMUST00000175674,ENSMUSG00000093726,Gm20667,14:67673176-67675106,lncRNA_annotated,0.506897,0.119571,2.08382,0.00805,0.0640684,FALSE
LNC_000734,XLOC_049981,-,6:9250967-9267302,lncRNA_Novel,1.11506,1.71794,-0.623558,0.00815,0.0646958,FALSE
LNC_000444,XLOC_029339,-,18:25754343-25887802,lncRNA_Novel,0.623629,0.987343,-0.662862,0.00855,0.0671888,FALSE
LNC_000825,XLOC_058282,-,7:61054247-61072809,lncRNA_Novel,0.755592,1.94982,-1.36766,0.0089,0.0694361,FALSE
ENSMUST00000181029,ENSMUSG00000066170,E230001N04Rik,17:28523256-28525347,lncRNA_annotated,1.43958,0.667221,1.10941,0.00925,0.0716513,FALSE
ENSMUST00000218927,ENSMUSG00000112763,AC162376.3,12:49368728-49381885,lncRNA_annotated,0.218451,0.858893,-1.97517,0.00925,0.0716513,FALSE
ENSMUST00000201128,ENSMUSG00000106820,D5Ertd605e,5:147418600-147423044,lncRNA_annotated,0.67084,0.149424,2.16655,0.00965,0.074084,FALSE
ENSMUST00000209170,ENSMUSG00000108872,Dlg2,7:90477171-90522791,lncRNA_annotated,2.09033,4.49593,-1.10489,0.00985,0.0753441,FALSE
LNC_000735,XLOC_050328,-,6:41620623-41636405,lncRNA_Novel,0.70677,1.86992,-1.40366,0.00995,0.0759535,FALSE
LNC_000119,XLOC_010228,-,11:36006655-37235882,lncRNA_Novel,1.84292,3.86073,-1.06688,0.01,0.0762832,FALSE
LNC_000658,XLOC_043860,-,4:24239111-24255252,lncRNA_Novel,0.145852,0.51519,-1.8206,0.0104,0.0788336,FALSE
ENSMUST00000215759,ENSMUSG00000097736,9530059O14Rik,9:122572498-122678965,lncRNA_annotated,2.83295,6.8078,-1.26488,0.01055,0.0798267,FALSE
ENSMUST00000181682,ENSMUSG00000097736,9530059O14Rik,9:122572498-122678965,lncRNA_annotated,2.22936,5.35848,-1.2652,0.01055,0.0798267,FALSE
ENSMUST00000181565,ENSMUSG00000097423,Gm26522,7:88278084-88310888,lncRNA_annotated,3.76798,0.198078,4.24965,0.0106,0.0801148,FALSE
ENSMUST00000180563,ENSMUSG00000097195,Snhg5,9:88521049-88522929,lncRNA_annotated,7.25243,2.18398,1.73151,0.0108,0.0811521,FALSE
LNC_000289,XLOC_023081,-,15:34744677-34747951,lncRNA_Novel,0.230173,0.888656,-1.94891,0.01085,0.0814368,FALSE
ENSMUST00000181954,ENSMUSG00000097038,Gm26821,7:18925887-18965319,lncRNA_annotated,10.6359,20.84,-0.970409,0.0109,0.081648,FALSE
ENSMUST00000162453,ENSMUSG00000072109,A530040E14Rik,1:85083068-85270566,lncRNA_annotated,0.543293,0,inf,0.0113,0.0840264,FALSE
ENSMUST00000180555,ENSMUSG00000097428,AW047730,3:88199101-88204595,lncRNA_annotated,5.83203,11.4262,-0.970276,0.0115,0.0851933,FALSE
LNC_000508,XLOC_031523,-,19:52923189-52927774,lncRNA_Novel,0.113868,0.915066,-3.00652,0.01155,0.0853755,FALSE
LNC_000917,XLOC_067442,-,X:82685595-82689616,lncRNA_Novel,0.174619,0.645998,-1.88732,0.0119,0.0873862,FALSE
ENSMUST00000222823,ENSMUSG00000113216,AL590503.1,13:28394452-28420066,lncRNA_annotated,0.843206,1.74547,-1.04966,0.01245,0.0906921,FALSE
ENSMUST00000152813,ENSMUSG00000074876,Spata5l1,2:122630645-122632930,lncRNA_annotated,5.61914,3.14341,0.838016,0.01255,0.0912032,FALSE
ENSMUST00000198371,ENSMUSG00000105152,Gm42864,5:112649366-112652112,lncRNA_annotated,0.409657,1.43039,-1.80392,0.01255,0.0912032,FALSE
LNC_000047,XLOC_003945,-,1:151247249-151250931,lncRNA_Novel,1.21715,0.498157,1.28883,0.0126,0.0914085,FALSE
