test_id,gene_id,gene,locus,isoform_status,CIML,MIML,log2FoldChange,p_value,q_value,significant
ENSMUST00000031447,ENSMUSG00000029484,Anxa3,5:96793338-96845966,mRNA,28.2892,4.60426,2.61921,5.00E-05,0.00091007,Up
ENSMUST00000031446,ENSMUSG00000070498,Tmem132b,5:125531773-125792583,mRNA,17.1231,37.3333,-1.12452,5.00E-05,0.00091007,Down
ENSMUST00000042167,ENSMUSG00000039007,Cpq,15:33083128-33594552,mRNA,30.5848,13.0107,1.23311,5.00E-05,0.00091007,Up
ENSMUST00000079824,ENSMUSG00000063234,Gpr84,15:103308235-103310438,mRNA,10.3992,0.50714,4.35794,5.00E-05,0.00091007,Up
ENSMUST00000079812,ENSMUSG00000027878,Notch2,3:98013537-98150361,mRNA,23.1171,7.95211,1.53955,5.00E-05,0.00091007,Up
ENSMUST00000020537,ENSMUSG00000020297,Nsg2,11:32000462-32059202,mRNA,118.596,222.178,-0.905655,5.00E-05,0.00091007,Down
ENSMUST00000111432,ENSMUSG00000040713,Creg1,1:165763745-165775308,mRNA,23.5289,13.3941,0.812836,5.00E-05,0.00091007,Up
ENSMUST00000179474,ENSMUSG00000044465,Fam160a2,7:105371210-105400054,mRNA,3.87073,9.99546,-1.36867,5.00E-05,0.00091007,Down
ENSMUST00000111442,ENSMUSG00000079227,Ccr5,9:124121542-124132484,mRNA,12.2585,1.23506,3.31113,5.00E-05,0.00091007,Up
ENSMUST00000031390,ENSMUSG00000029436,Mmp17,5:129584168-129611099,mRNA,10.0556,24.3391,-1.27527,5.00E-05,0.00091007,Down
ENSMUST00000020564,ENSMUSG00000020312,Shc2,10:79618651-79637918,mRNA,4.47534,9.20484,-1.0404,5.00E-05,0.00091007,Down
ENSMUST00000062315,ENSMUSG00000051498,Tlr6,5:64952030-64960097,mRNA,3.76227,0.573359,2.71409,5.00E-05,0.00091007,Up
ENSMUST00000020702,ENSMUSG00000020427,Igfbp3,11:7206085-7213923,mRNA,25.3518,4.9653,2.35213,5.00E-05,0.00091007,Up
ENSMUST00000031278,ENSMUSG00000029335,Bmp3,5:98854414-98884396,mRNA,1.41684,4.27347,-1.59273,5.00E-05,0.00091007,Down
ENSMUST00000111945,ENSMUSG00000021936,Mapk8,14:33377897-33447158,mRNA,13.2067,24.4319,-0.8875,5.00E-05,0.00091007,Down
ENSMUST00000031131,ENSMUSG00000029223,Uchl1,5:66676090-66687234,mRNA,153.842,323.879,-1.07401,5.00E-05,0.00091007,Down
ENSMUST00000042312,ENSMUSG00000042726,Trafd1,5:121371724-121393465,mRNA,42.9995,11.5206,1.90011,5.00E-05,0.00091007,Up
ENSMUST00000112210,ENSMUSG00000021948,Prkcd,14:30595353-30626210,mRNA,34.427,15.8039,1.12326,5.00E-05,0.00091007,Up
ENSMUST00000112231,ENSMUSG00000048120,Entpd1,19:40612396-40741602,mRNA,15.2562,4.0176,1.92499,5.00E-05,0.00091007,Up
ENSMUST00000020886,ENSMUSG00000020572,Nampt,12:32820334-32853349,mRNA,59.4024,15.8464,1.90637,5.00E-05,0.00091007,Up
ENSMUST00000048096,ENSMUSG00000039005,Tlr4,4:66827583-66930284,mRNA,9.17709,1.0552,3.12052,5.00E-05,0.00091007,Up
ENSMUST00000063062,ENSMUSG00000040809,Chil3,3:106147553-106167564,mRNA,47.6784,0.154963,8.26527,5.00E-05,0.00091007,Up
ENSMUST00000020909,ENSMUSG00000020585,Laptm4a,12:8921663-8938742,mRNA,222.052,113.953,0.962454,5.00E-05,0.00091007,Up
ENSMUST00000042352,ENSMUSG00000037492,Zmat4,8:23636018-24063105,mRNA,8.1065,17.8695,-1.14035,5.00E-05,0.00091007,Down
ENSMUST00000112254,ENSMUSG00000001930,Vwf,6:125546773-125686679,mRNA,20.7909,5.56884,1.9005,5.00E-05,0.00091007,Up
ENSMUST00000020922,ENSMUSG00000020601,Trib2,12:15791726-15816922,mRNA,8.81781,18.9538,-1.104,5.00E-05,0.00091007,Down
ENSMUST00000048068,ENSMUSG00000042659,Arrdc4,7:68736994-68749241,mRNA,8.89783,2.47568,1.84563,5.00E-05,0.00091007,Up
ENSMUST00000079464,ENSMUSG00000026202,Tuba4a,1:75210837-75219865,mRNA,87.0243,180.637,-1.0536,5.00E-05,0.00091007,Down
ENSMUST00000020930,ENSMUSG00000020611,Gna13,11:109354777-109401369,mRNA,54.8731,22.9129,1.25994,5.00E-05,0.00091007,Up
ENSMUST00000031055,ENSMUSG00000029163,Emilin1,5:30913401-30921277,mRNA,4.22293,1.01313,2.05943,5.00E-05,0.00091007,Up
ENSMUST00000112172,ENSMUSG00000049775,Tmsb4x,X:167207092-167209315,mRNA,1532.99,709.615,1.11124,5.00E-05,0.00091007,Up
ENSMUST00000042299,ENSMUSG00000034402,Kcnh5,12:74897219-75177332,mRNA,8.73192,23.7409,-1.44301,5.00E-05,0.00091007,Down
ENSMUST00000042290,ENSMUSG00000037254,Itih2,2:10094592-10131396,mRNA,5.65544,2.29762,1.2995,5.00E-05,0.00091007,Up
ENSMUST00000079597,ENSMUSG00000064225,Paqr9,9:95559656-95568023,mRNA,7.6348,15.3534,-1.0079,5.00E-05,0.00091007,Down
ENSMUST00000178344,ENSMUSG00000095115,Itpripl2,7:118485110-118491975,mRNA,11.1141,1.88566,2.55925,5.00E-05,0.00091007,Up
ENSMUST00000062789,ENSMUSG00000044350,Lacc1,14:77024199-77036641,mRNA,9.48947,1.8776,2.33744,5.00E-05,0.00091007,Up
ENSMUST00000178224,ENSMUSG00000094910,D430019H16Rik,12:105453855-105493095,mRNA,14.3408,34.5698,-1.26939,5.00E-05,0.00091007,Down
ENSMUST00000178174,ENSMUSG00000095139,Pou3f2,4:22482779-22488366,mRNA,4.59225,9.77396,-1.08974,5.00E-05,0.00091007,Down
ENSMUST00000111963,ENSMUSG00000030199,Etv6,6:134035699-134270158,mRNA,9.37861,3.66386,1.35601,5.00E-05,0.00091007,Up
ENSMUST00000020756,ENSMUSG00000020464,Pnpt1,11:29130747-29161828,mRNA,16.1796,8.71225,0.893061,5.00E-05,0.00091007,Up
ENSMUST00000031243,ENSMUSG00000029304,Spp1,5:104435117-104441050,mRNA,47.9213,14.4466,1.72994,5.00E-05,0.00091007,Up
ENSMUST00000079957,ENSMUSG00000058715,Fcer1g,1:171229571-171234365,mRNA,149.778,6.60808,4.50245,5.00E-05,0.00091007,Up
ENSMUST00000031238,ENSMUSG00000029298,Gbp9,5:105014152-105139586,mRNA,35.5717,0.940668,5.2409,5.00E-05,0.00091007,Up
ENSMUST00000112053,ENSMUSG00000049734,Trex1,9:109057932-109074124,mRNA,51.4576,4.20633,3.61275,5.00E-05,0.00091007,Up
ENSMUST00000178092,ENSMUSG00000021871,Pnp,14:50944301-50965237,mRNA,63.9006,11.6909,2.45044,5.00E-05,0.00091007,Up
ENSMUST00000079625,ENSMUSG00000060519,Tor3a,1:156653616-156674356,mRNA,26.1069,2.8771,3.18174,5.00E-05,0.00091007,Up
ENSMUST00000062893,ENSMUSG00000045328,Cenpe,3:135212536-135273611,mRNA,2.12637,0.306675,2.79361,5.00E-05,0.00091007,Up
ENSMUST00000112113,ENSMUSG00000029544,Cabp1,5:115168688-115194381,mRNA,12.3007,26.6617,-1.11604,5.00E-05,0.00091007,Down
ENSMUST00000048121,ENSMUSG00000041794,Myrip,9:120301512-120474841,mRNA,10.3743,19.2156,-0.88927,5.00E-05,0.00091007,Down
ENSMUST00000177659,ENSMUSG00000095029,Gm21370,13:120026438-120027011,mRNA,0.689384,0,inf,5.00E-05,0.00091007,Up
ENSMUST00000079644,ENSMUSG00000028639,Ybx1,4:119277980-119294604,mRNA,46.4923,25.675,0.856625,5.00E-05,0.00091007,Up
ENSMUST00000042135,ENSMUSG00000004952,Rasa4,5:136083915-136111860,mRNA,16.5348,1.9999,3.0475,5.00E-05,0.00091007,Up
ENSMUST00000111275,ENSMUSG00000015950,Ncf1,5:134220259-134229625,mRNA,42.2029,2.55345,4.04682,5.00E-05,0.00091007,Up
ENSMUST00000042121,ENSMUSG00000037649,H2-DMa,17:34135181-34139101,mRNA,55.7388,8.05242,2.79119,5.00E-05,0.00091007,Up
ENSMUST00000031895,ENSMUSG00000029863,Casp2,6:42264984-42282508,mRNA,12.4057,6.3392,0.968626,5.00E-05,0.00091007,Up
ENSMUST00000020161,ENSMUSG00000019987,Arg1,10:24915220-24927484,mRNA,8.76592,0.386569,4.50311,5.00E-05,0.00091007,Up
ENSMUST00000031868,ENSMUSG00000029843,Slc13a4,6:35267956-35308131,mRNA,13.2853,6.75972,0.974792,5.00E-05,0.00091007,Up
ENSMUST00000020171,ENSMUSG00000019997,Ctgf,10:24549446-24598683,mRNA,16.216,6.99299,1.21343,5.00E-05,0.00091007,Up
ENSMUST00000080511,ENSMUSG00000058773,Hist1h1b,13:21779882-21780625,mRNA,56.565,7.65641,2.88517,5.00E-05,0.00091007,Up
ENSMUST00000080492,ENSMUSG00000057863,Rpl36,17:56613394-56614243,mRNA,567.606,316.093,0.84454,5.00E-05,0.00091007,Up
ENSMUST00000020188,ENSMUSG00000020009,Ifngr1,10:19591948-19610229,mRNA,27.4116,7.81617,1.81026,5.00E-05,0.00091007,Up
ENSMUST00000031840,ENSMUSG00000029816,Gpnmb,6:49036614-49070929,mRNA,26.5698,0.522065,5.66941,5.00E-05,0.00091007,Up
ENSMUST00000110293,ENSMUSG00000042842,Serpinb6b,13:32965208-32979067,mRNA,4.62835,0.595093,2.95931,5.00E-05,0.00091007,Up
ENSMUST00000041982,ENSMUSG00000037548,H2-DMb2,17:34145270-34151553,mRNA,28.474,0.524021,5.76388,5.00E-05,0.00091007,Up
ENSMUST00000110341,ENSMUSG00000027381,Bcl2l11,2:128126037-128162547,mRNA,6.19586,1.86317,1.73354,5.00E-05,0.00091007,Up
ENSMUST00000110387,ENSMUSG00000034906,Ncaph,2:127103808-127133954,mRNA,4.47308,0.896802,2.31841,5.00E-05,0.00091007,Up
ENSMUST00000031914,ENSMUSG00000029875,Ccdc184,15:98167805-98170134,mRNA,4.22276,9.46589,-1.16455,5.00E-05,0.00091007,Down
ENSMUST00000110030,ENSMUSG00000027423,Snx5,2:144250122-144281227,mRNA,42.6574,9.75367,2.12878,5.00E-05,0.00091007,Up
ENSMUST00000020145,ENSMUSG00000019970,Sgk1,10:21882183-21999903,mRNA,89.8634,28.5451,1.65449,5.00E-05,0.00091007,Up
ENSMUST00000032175,ENSMUSG00000030088,Aldh1l1,6:90550788-90600203,mRNA,40.707,19.8019,1.03964,5.00E-05,0.00091007,Up
ENSMUST00000080861,ENSMUSG00000062997,Rpl35,2:38998318-39005624,mRNA,139.634,81.6208,0.774645,5.00E-05,0.00091007,Up
ENSMUST00000025835,ENSMUSG00000024900,Cpt1a,19:3323300-3385732,mRNA,19.7835,10.109,0.968654,5.00E-05,0.00091007,Up
ENSMUST00000080859,ENSMUSG00000099517,Hist1h3g,13:23535421-23535951,mRNA,45.355,5.78615,2.97059,5.00E-05,0.00091007,Up
ENSMUST00000048572,ENSMUSG00000039377,Hlx,1:184727139-184732619,mRNA,2.99828,0.36878,3.0233,5.00E-05,0.00091007,Up
ENSMUST00000020017,ENSMUSG00000019866,Crybg1,10:43950635-44148853,mRNA,5.10378,0.317562,4.00645,5.00E-05,0.00091007,Up
ENSMUST00000020022,ENSMUSG00000019872,Smpdl3a,10:57794334-57811830,mRNA,29.7717,14.2065,1.06739,5.00E-05,0.00091007,Up
ENSMUST00000020249,ENSMUSG00000020057,Dram1,10:88322803-88379080,mRNA,6.20176,0.37941,4.03085,5.00E-05,0.00091007,Up
ENSMUST00000020024,ENSMUSG00000019874,Fabp7,10:57784880-57788450,mRNA,174.408,48.3574,1.85066,5.00E-05,0.00091007,Up
ENSMUST00000061632,ENSMUSG00000050663,Trhde,10:114398822-114801364,mRNA,6.85917,12.4327,-0.858033,5.00E-05,0.00091007,Down
ENSMUST00000020078,ENSMUSG00000019920,Lims1,10:58323465-58424691,mRNA,19.9684,11.1823,0.83651,5.00E-05,0.00091007,Up
ENSMUST00000109868,ENSMUSG00000050002,Idnk,13:58157648-58164693,mRNA,16.7541,6.06796,1.46523,5.00E-05,0.00091007,Up
ENSMUST00000080721,ENSMUSG00000058152,Chsy3,18:59175400-59410446,mRNA,3.29425,8.29522,-1.33233,5.00E-05,0.00091007,Down
ENSMUST00000061721,ENSMUSG00000018983,E2f2,4:136172393-136196057,mRNA,2.09561,0.446289,2.23132,5.00E-05,0.00091007,Up
ENSMUST00000061740,ENSMUSG00000057716,Tmem178b,6:39873270-40255075,mRNA,13.9914,31.3446,-1.16368,5.00E-05,0.00091007,Down
ENSMUST00000061755,ENSMUSG00000016534,Lamp2,X:38401356-38456454,mRNA,58.2944,20.1462,1.53285,5.00E-05,0.00091007,Up
ENSMUST00000032127,ENSMUSG00000030048,Gkn3,6:87383255-87388935,mRNA,0.443614,5.49851,-3.63166,5.00E-05,0.00091007,Down
ENSMUST00000031037,ENSMUSG00000029151,Slc30a3,5:31086105-31108237,mRNA,13.3401,33.4782,-1.32745,5.00E-05,0.00091007,Down
ENSMUST00000061829,ENSMUSG00000051439,Cd14,18:36725073-36726736,mRNA,10.2734,1.79004,2.52085,5.00E-05,0.00091007,Up
ENSMUST00000110452,ENSMUSG00000069300,Hist1h2bj,13:22043213-22043676,mRNA,77.2565,10.6941,2.85285,5.00E-05,0.00091007,Up
ENSMUST00000111064,ENSMUSG00000020591,Ntsr2,12:16653381-16660227,mRNA,8.91579,34.631,-1.95763,5.00E-05,0.00091007,Down
ENSMUST00000048372,ENSMUSG00000036944,Tmem71,15:66526211-66561046,mRNA,1.28528,0.148898,3.10969,5.00E-05,0.00091007,Up
ENSMUST00000111108,ENSMUSG00000010609,Psen2,1:180227003-180274963,mRNA,16.4824,6.89743,1.25679,5.00E-05,0.00091007,Up
ENSMUST00000042081,ENSMUSG00000040552,C3ar1,6:122847137-122856161,mRNA,23.2025,0.578294,5.32633,5.00E-05,0.00091007,Up
ENSMUST00000031555,ENSMUSG00000029570,Lfng,5:140607319-140615545,mRNA,17.9266,7.10409,1.33538,5.00E-05,0.00091007,Up
ENSMUST00000031549,ENSMUSG00000073555,Gm4951,18:60212079-60247820,mRNA,39.0053,0.132358,8.20308,5.00E-05,0.00091007,Up
ENSMUST00000180430,ENSMUSG00000061578,Ksr2,5:117413999-117775003,mRNA,8.75997,15.5637,-0.829189,5.00E-05,0.00091007,Down
ENSMUST00000180387,ENSMUSG00000097789,Gm2115,7:84528953-84583531,mRNA,2.67818,7.40151,-1.46657,5.00E-05,0.00091007,Down
ENSMUST00000031542,ENSMUSG00000029561,Oasl2,5:114896935-114912234,mRNA,124.566,0.654294,7.57276,5.00E-05,0.00091007,Up
ENSMUST00000111194,ENSMUSG00000005087,Cd44,2:102811140-102901665,mRNA,17.9951,1.19178,3.91641,5.00E-05,0.00091007,Up
ENSMUST00000111214,ENSMUSG00000073489,Ifi204,1:173747292-173766919,mRNA,45.8803,0.132131,8.43976,5.00E-05,0.00091007,Up
ENSMUST00000180154,ENSMUSG00000032372,Plscr2,9:92275601-92297752,mRNA,9.78664,1.8367,2.4137,5.00E-05,0.00091007,Up
ENSMUST00000111230,ENSMUSG00000026547,Tagln2,1:172500046-172507380,mRNA,51.5306,6.3614,3.01801,5.00E-05,0.00091007,Up
ENSMUST00000080015,ENSMUSG00000056116,H2-T22,17:36038406-36042747,mRNA,58.7741,1.26494,5.53804,5.00E-05,0.00091007,Up
ENSMUST00000062241,ENSMUSG00000045322,Tlr9,9:106222597-106226883,mRNA,18.5256,0.609161,4.92655,5.00E-05,0.00091007,Up
ENSMUST00000080210,ENSMUSG00000005089,Slc1a2,2:102658658-102790784,mRNA,207.391,581.801,-1.48817,5.00E-05,0.00091007,Down
ENSMUST00000031617,ENSMUSG00000029614,Rpl6,5:121204480-121209241,mRNA,263.172,157.595,0.739784,5.00E-05,0.00091007,Up
ENSMUST00000110949,ENSMUSG00000041219,Arhgap11a,2:113831491-113848661,mRNA,3.95275,0.695866,2.50598,5.00E-05,0.00091007,Up
ENSMUST00000031646,ENSMUSG00000029641,Rasl11a,5:146845070-146847726,mRNA,12.113,3.74364,1.69404,5.00E-05,0.00091007,Up
ENSMUST00000080368,ENSMUSG00000021983,Atp8a2,14:59638539-60197179,mRNA,6.14592,12.3628,-1.0083,5.00E-05,0.00091007,Down
ENSMUST00000020271,ENSMUSG00000020077,Srgn,10:62493832-62527451,mRNA,48.9569,3.28938,3.89562,5.00E-05,0.00091007,Up
ENSMUST00000110455,ENSMUSG00000062727,Hist1h2bk,13:22035869-22036345,mRNA,60.0468,9.11251,2.72017,5.00E-05,0.00091007,Up
ENSMUST00000020277,ENSMUSG00000020080,Hkdc1,10:62383136-62422491,mRNA,1.26329,3.88787,-1.6218,5.00E-05,0.00091007,Down
ENSMUST00000110516,ENSMUSG00000021301,Hecw1,13:14226437-14523226,mRNA,9.19664,22.2505,-1.27466,5.00E-05,0.00091007,Down
ENSMUST00000042021,ENSMUSG00000038984,Tspyl5,15:33683875-33687883,mRNA,9.81268,18.4099,-0.907759,5.00E-05,0.00091007,Down
ENSMUST00000020289,ENSMUSG00000020092,Pald1,10:61319655-61383530,mRNA,8.78355,3.23258,1.44212,5.00E-05,0.00091007,Up
ENSMUST00000031773,ENSMUSG00000029759,Pon3,6:5220851-5256286,mRNA,8.91401,2.00215,2.15452,5.00E-05,0.00091007,Up
ENSMUST00000062028,ENSMUSG00000046793,Gpr61,3:108148320-108154882,mRNA,2.57169,5.36726,-1.06147,5.00E-05,0.00091007,Down
ENSMUST00000048409,ENSMUSG00000041986,Elmod1,9:53911459-53975301,mRNA,34.2308,64.8549,-0.92192,5.00E-05,0.00091007,Down
ENSMUST00000110711,ENSMUSG00000027287,Snap23,2:120567670-120601255,mRNA,12.3417,4.18163,1.5614,5.00E-05,0.00091007,Up
ENSMUST00000110721,ENSMUSG00000079110,Capn3,2:120463578-120504913,mRNA,11.934,1.94985,2.61364,5.00E-05,0.00091007,Up
ENSMUST00000080322,ENSMUSG00000052776,Oas1a,5:120896255-120907521,mRNA,39.069,0.291089,7.06842,5.00E-05,0.00091007,Up
ENSMUST00000048391,ENSMUSG00000042489,Clspn,4:126556934-126593903,mRNA,1.41831,0.249432,2.50745,5.00E-05,0.00091007,Up
ENSMUST00000110865,ENSMUSG00000056413,Adap1,5:139271875-139325622,mRNA,45.9733,84.3252,-0.875166,5.00E-05,0.00091007,Down
ENSMUST00000020301,ENSMUSG00000020101,Vsir,10:60302747-60696490,mRNA,12.9943,5.36403,1.27649,5.00E-05,0.00091007,Up
ENSMUST00000080880,ENSMUSG00000022150,Dab2,15:6299787-6440712,mRNA,6.37382,2.50632,1.34659,5.00E-05,0.00091007,Up
ENSMUST00000020964,ENSMUSG00000020635,Fkbp1b,12:4833173-4841591,mRNA,7.75862,17.7892,-1.19713,5.00E-05,0.00091007,Down
ENSMUST00000020970,ENSMUSG00000020641,Rsad2,12:26442745-26456452,mRNA,21.9111,0.646542,5.08277,5.00E-05,0.00091007,Up
ENSMUST00000113976,ENSMUSG00000025058,5430427O19Rik,X:85870353-85891499,mRNA,2.05787,0.151908,3.75988,5.00E-05,0.00091007,Up
ENSMUST00000171929,ENSMUSG00000026605,Cenpf,1:189640605-189688086,mRNA,2.44005,0.277227,3.13777,5.00E-05,0.00091007,Up
ENSMUST00000078050,ENSMUSG00000006418,Rnf114,2:167481132-167516173,mRNA,55.1231,21.7101,1.34429,5.00E-05,0.00091007,Up
ENSMUST00000030266,ENSMUSG00000028541,B4galt2,4:117873130-117883487,mRNA,12.5875,29.609,-1.23404,5.00E-05,0.00091007,Down
ENSMUST00000021607,ENSMUSG00000021190,Lgmn,12:102394083-102439813,mRNA,252.943,53.3585,2.24502,5.00E-05,0.00091007,Up
ENSMUST00000021610,ENSMUSG00000021194,Chga,12:102554968-102565028,mRNA,23.4988,43.9779,-0.904192,5.00E-05,0.00091007,Down
ENSMUST00000171737,ENSMUSG00000011179,Odc1,12:17544793-17551084,mRNA,36.7189,20.8794,0.81444,5.00E-05,0.00091007,Up
ENSMUST00000077960,ENSMUSG00000056116,H2-T22,17:36038406-36042747,mRNA,46.775,1.62075,4.851,5.00E-05,0.00091007,Up
ENSMUST00000030243,ENSMUSG00000028518,Prkaa2,4:105029873-105109890,mRNA,7.21122,14.1261,-0.97005,5.00E-05,0.00091007,Down
ENSMUST00000064503,ENSMUSG00000009207,Lnpk,2:74520290-74579379,mRNA,11.0811,21.6706,-0.967644,5.00E-05,0.00091007,Down
ENSMUST00000114136,ENSMUSG00000036986,Pml,9:58218075-58249786,mRNA,9.56374,2.59686,1.88081,5.00E-05,0.00091007,Up
ENSMUST00000064517,ENSMUSG00000052584,Serp2,14:76532813-76556687,mRNA,26.5351,50.1728,-0.919007,5.00E-05,0.00091007,Down
ENSMUST00000021641,ENSMUSG00000021217,Tshz3,7:36698117-36773553,mRNA,5.86508,11.1515,-0.927013,5.00E-05,0.00091007,Down
ENSMUST00000077955,ENSMUSG00000063605,Ccdc102a,8:94902868-94918098,mRNA,3.32324,0.847638,1.97107,5.00E-05,0.00091007,Up
ENSMUST00000030202,ENSMUSG00000028480,Glipr2,4:43957400-43979118,mRNA,23.1467,1.4968,3.95085,5.00E-05,0.00091007,Up
ENSMUST00000113975,ENSMUSG00000089774,Slc5a3,16:92058269-92112227,mRNA,29.3728,12.4175,1.2421,5.00E-05,0.00091007,Up
ENSMUST00000171496,ENSMUSG00000016763,Scube1,15:83602582-83725021,mRNA,2.17217,6.34163,-1.54572,5.00E-05,0.00091007,Down
ENSMUST00000021552,ENSMUSG00000021127,Zfp36l1,12:80107753-80113013,mRNA,12.7866,5.18999,1.30083,5.00E-05,0.00091007,Up
ENSMUST00000030317,ENSMUSG00000028583,Pdpn,4:143267430-143299564,mRNA,24.7344,5.66073,2.12746,5.00E-05,0.00091007,Up
ENSMUST00000030434,ENSMUSG00000028673,Fuca1,4:135920734-135940311,mRNA,23.4376,10.5083,1.15729,5.00E-05,0.00091007,Up
ENSMUST00000078272,ENSMUSG00000040118,Cacna2d1,5:15934690-16374511,mRNA,17.0027,34.8841,-1.0368,5.00E-05,0.00091007,Down
ENSMUST00000064265,ENSMUSG00000034579,Pla2g3,11:3488283-3494166,mRNA,3.11325,0.980343,1.66706,5.00E-05,0.00091007,Up
ENSMUST00000021459,ENSMUSG00000021062,Rab15,12:76765537-76921412,mRNA,26.941,65.605,-1.284,5.00E-05,0.00091007,Down
ENSMUST00000030398,ENSMUSG00000028645,Slc2a1,4:119108710-119138801,mRNA,81.3393,36.6103,1.1517,5.00E-05,0.00091007,Up
ENSMUST00000113742,ENSMUSG00000079492,Gm11127,17:36042960-36058645,mRNA,46.5417,1.21628,5.25798,5.00E-05,0.00091007,Up
ENSMUST00000113760,ENSMUSG00000053835,H2-T24,17:36005694-36020560,mRNA,38.7453,1.96929,4.29827,5.00E-05,0.00091007,Up
ENSMUST00000172306,ENSMUSG00000053716,Dusp7,9:106368631-106375724,mRNA,16.3806,30.095,-0.877536,5.00E-05,0.00091007,Down
ENSMUST00000113883,ENSMUSG00000025656,Arhgef9,X:95048934-95196856,mRNA,18.2587,42.0094,-1.20213,5.00E-05,0.00091007,Down
ENSMUST00000021506,ENSMUSG00000021091,Serpina3n,12:104406728-104414329,mRNA,124.824,12.5655,3.31236,5.00E-05,0.00091007,Up
ENSMUST00000078214,ENSMUSG00000059182,Skap2,6:51857421-52012549,mRNA,16.0708,2.57583,2.64134,5.00E-05,0.00091007,Up
ENSMUST00000030336,ENSMUSG00000028599,Tnfrsf1b,4:145213462-145246870,mRNA,18.3421,0.916644,4.32265,5.00E-05,0.00091007,Up
ENSMUST00000021527,ENSMUSG00000021108,Prkch,12:73584796-73778185,mRNA,7.24079,3.04006,1.25205,5.00E-05,0.00091007,Up
ENSMUST00000172088,ENSMUSG00000042097,Zfp239,6:117863076-117873291,mRNA,4.87795,12.2964,-1.33389,5.00E-05,0.00091007,Down
