Gid	Name	CPM-nCoV1	CPM-nCoV2	CPM-Ctrl1	CPM-Ctrl2	CPM-Ctrl3	baseMean(Counts)	log2FoldChange	lfcSE	stat	pvalue	padj	Tag
ENSG00000189339.12	SLC35E2B	16.32	13.39	57.66	41.89	44.07	159.73	-0.29	0.37	-0.77	4.42E-01	6.02E-01	NC
ENSG00000215790.7	SLC35E2A	8.16	6.69	7.35	23.42	22.44	62.41	-0.04	0.6	-0.07	9.43E-01	9.69E-01	NC
ENSG00000008130.15	NADK	18.77	158.2	148.92	156.33	152.26	759.18	0.71	0.9	0.8	4.25E-01	5.84E-01	NC
ENSG00000078369.18	GNB1	153.41	76.81	648.2	614.4	649.55	1579.26	-1.19	0.21	-5.61	0.00E+00	0.00E+00	NC
ENSG00000157933.10	SKI	71.81	38.05	220.36	203.4	257.67	627.82	-0.79	0.21	-3.85	1.00E-04	5.00E-04	NC
ENSG00000157916.20	RER1	38.35	14.45	149.75	141.1	145.32	345.95	-1.3	0.33	-3.96	1.00E-04	3.00E-04	NC
ENSG00000158109.15	TPRG1L	3.26	22.55	99.5	87.19	84.05	211.09	-1.42	0.82	-1.73	8.34E-02	1.53E-01	NC
ENSG00000116213.16	WRAP73	9.79	5.64	46.82	47.55	40.26	106.98	-1.27	0.27	-4.68	0.00E+00	0.00E+00	NC
ENSG00000130764.10	LRRC47	8.16	7.75	45.85	44.67	46.21	111.02	-1.22	0.24	-5.05	0.00E+00	0.00E+00	NC
ENSG00000116198.13	CEP104	26.11	27.84	58.67	56.76	53.54	218.73	0.22	0.21	1.04	2.96E-01	4.37E-01	NC
ENSG00000198912.11	C1orf174	9.79	19.73	46.62	43.59	44.2	156.16	-0.15	0.44	-0.34	7.32E-01	8.42E-01	NC
ENSG00000131697.18	NPHP4	13.87	4.23	27.5	27.72	24.61	83.96	-0.35	0.42	-0.83	4.04E-01	5.60E-01	NC
ENSG00000069424.15	KCNAB2	39.99	28.89	487.69	457.36	508.71	940.14	-2.49	0.24	-10.44	0.00E+00	0.00E+00	Down
ENSG00000116251.11	RPL22	17.95	24.31	88.22	79.38	104.47	251.37	-0.78	0.28	-2.82	4.80E-03	1.37E-02	NC
ENSG00000116237.16	ICMT	16.32	11.98	125.61	126.26	113.09	266.11	-1.8	0.2	-9.19	0.00E+00	0.00E+00	NC
ENSG00000097021.19	ACOT7	8.16	19.73	69.41	76.26	38.55	171.56	-0.76	0.57	-1.33	1.83E-01	2.93E-01	NC
ENSG00000069812.11	HES2	0	13.39	11.36	36.48	5.11	63.37	-0.01	1.61	-0.01	9.93E-01	9.96E-01	NC
ENSG00000162408.11	NOL9	4.9	9.87	20.95	20.8	19.48	79.85	0.09	0.56	0.16	8.75E-01	9.30E-01	NC
ENSG00000204859.13	ZBTB48	5.71	2.82	43.26	38.52	39.25	87.65	-1.96	0.34	-5.74	0.00E+00	0.00E+00	NC
ENSG00000162413.16	KLHL21	4.08	19.03	40.79	41.36	34.6	120.87	-0.42	0.72	-0.58	5.62E-01	7.24E-01	NC
ENSG00000007923.16	DNAJC11	14.69	15.5	41.84	41.76	41.64	146.15	-0.12	0.32	-0.39	6.98E-01	8.21E-01	NC
ENSG00000171735.19	CAMTA1	22.44	15.5	54.12	47.02	48.85	173.18	-0.11	0.2	-0.56	5.72E-01	7.32E-01	NC
ENSG00000049245.13	VAMP3	124.44	162.43	262.85	265.52	278.38	1182.11	0.44	0.28	1.6	1.09E-01	1.91E-01	NC
ENSG00000049246.14	PER3	5.71	23.96	25.57	42.36	16.94	126.94	0.49	0.81	0.61	5.40E-01	7.05E-01	NC
ENSG00000049247.13	UTS2	17.14	11.98	0	0	0.06	65.85	10.85	0.95	11.42	0.00E+00	0.00E+00	Up
ENSG00000116288.13	PARK7	56.31	62.01	141.29	124.32	148.56	510.75	0.06	0.21	0.27	7.87E-01	8.77E-01	NC
ENSG00000116285.13	ERRFI1	43.25	16.21	34.19	24.96	34.32	181.88	1.06	0.46	2.3	2.13E-02	4.94E-02	NC
ENSG00000142599.19	RERE	56.31	40.87	63.26	55.09	80.46	371.8	0.92	0.25	3.66	3.00E-04	1.00E-03	NC
ENSG00000074800.16	ENO1	115.88	57.43	766.74	840.73	681.09	1615.79	-1.89	0.22	-8.76	0.00E+00	0.00E+00	NC
ENSG00000131686.15	CA6	8.98	0	0	0.05	0.07	16.13	7.56	1.96	3.85	1.00E-04	5.00E-04	NC
ENSG00000142583.18	SLC2A5	6.53	2.82	0.61	1.66	0.41	25.33	3.69	0.88	4.2	0.00E+00	1.00E-04	NC
ENSG00000180758.12	GPR157	0.82	8.46	32.54	39.84	23.41	74.68	-1.4	1.01	-1.39	1.64E-01	2.68E-01	NC
ENSG00000228526.7	MIR34AHG	9.79	7.05	50.26	54.91	31.67	115.02	-1.14	0.4	-2.85	4.30E-03	1.26E-02	NC
ENSG00000234546.4	LNCTAM34A	11.42	2.11	1.64	1.2	2.23	34.78	3.2	0.61	5.22	0.00E+00	0.00E+00	NC
ENSG00000049239.12	H6PD	9.38	6.69	237.19	204.54	281.43	416.38	-3.64	0.34	-10.6	0.00E+00	0.00E+00	Down
ENSG00000171612.7	SLC25A33	4.9	7.05	13.06	14.26	7.94	46.73	0.28	0.54	0.52	6.02E-01	7.54E-01	NC
ENSG00000171603.17	CLSTN1	8.98	12.68	119.09	90.04	87.42	210.81	-1.87	0.31	-5.93	0.00E+00	0.00E+00	NC
ENSG00000162441.12	LZIC	8.98	26.78	69.97	66.17	76.13	218.26	-0.47	0.68	-0.7	4.86E-01	6.49E-01	NC
ENSG00000173614.14	NMNAT1	8.98	5.99	19.37	20.29	22.31	76.52	-0.13	0.3	-0.43	6.67E-01	8.00E-01	NC
ENSG00000162444.12	RBP7	4.08	20.08	10.89	12.75	15.72	88.73	1.31	0.73	1.81	7.05E-02	1.33E-01	NC
ENSG00000130939.20	UBE4B	42.43	41.93	85.58	81.3	81.11	339.59	0.32	0.14	2.29	2.17E-02	5.05E-02	NC
ENSG00000054523.17	KIF1B	88.13	41.58	79.23	78.92	90.69	435.42	0.84	0.26	3.26	1.10E-03	3.80E-03	NC
ENSG00000142657.21	PGD	77.52	73.64	674.36	846.04	778.82	1583.96	-2.04	0.15	-13.53	0.00E+00	0.00E+00	Down
ENSG00000160049.12	DFFA	29.38	23.25	43.25	44.48	62.64	224.12	0.44	0.28	1.58	1.15E-01	1.99E-01	NC
ENSG00000142655.13	PEX14	3.67	7.75	64.84	72.2	94.53	148.57	-2.46	0.48	-5.15	0.00E+00	0.00E+00	NC
ENSG00000130940.15	CASZ1	9.38	13.39	12.92	8.09	4.9	75.9	1.78	0.5	3.58	3.00E-04	1.40E-03	NC
ENSG00000120948.17	TARDBP	31.01	38.05	97.46	97.23	95.52	324.72	-0.19	0.22	-0.87	3.83E-01	5.37E-01	NC
ENSG00000116649.10	SRM	27.34	33.47	45.33	36.02	40.41	208.03	0.82	0.32	2.53	1.13E-02	2.92E-02	NC
ENSG00000171824.14	EXOSC10	62.43	30.3	80.89	82.35	77.85	343.87	0.42	0.22	1.89	5.88E-02	1.14E-01	NC
ENSG00000198793.13	MTOR	48.15	35.94	114.14	127.1	110.47	406.43	-0.17	0.14	-1.23	2.19E-01	3.42E-01	NC
ENSG00000132879.14	FBXO44	9.79	0.7	19.47	12.49	17.63	56.32	-0.22	1.03	-0.21	8.32E-01	9.05E-01	NC
ENSG00000116663.11	FBXO6	8.16	2.82	65.29	59.4	59.64	122.51	-2.24	0.31	-7.15	0.00E+00	0.00E+00	Down
ENSG00000177674.16	AGTRAP	17.54	10.57	82	64.56	85.81	196.2	-1.16	0.26	-4.43	0.00E+00	1.00E-04	NC
ENSG00000177000.12	MTHFR	21.22	3.52	47.26	51.28	43.81	132.32	-0.75	0.58	-1.29	1.96E-01	3.11E-01	NC
ENSG00000011021.23	CLCN6	21.62	4.93	52.64	59.47	45.46	141.83	-0.83	0.53	-1.57	1.17E-01	2.02E-01	NC
ENSG00000116685.16	KIAA2013	15.5	15.15	88.54	74.69	85.68	210.25	-1.12	0.21	-5.28	0.00E+00	0.00E+00	NC
ENSG00000083444.17	PLOD1	10.61	13.74	200.6	165.67	201.99	353.25	-2.69	0.3	-8.85	0.00E+00	0.00E+00	Down
ENSG00000116688.16	MFN2	26.52	22.55	169.72	160.65	194.05	416.94	-1.41	0.3	-4.68	0.00E+00	0.00E+00	NC
ENSG00000116691.11	MIIP	11.42	4.93	95.25	67.68	82.76	165.98	-2.1	0.41	-5.14	0.00E+00	0.00E+00	NC
ENSG00000028137.19	TNFRSF1B	67.73	15.86	98.78	106.45	145.83	370.5	-0.37	0.52	-0.71	4.77E-01	6.40E-01	NC
ENSG00000048707.15	VPS13D	47.33	51.09	148.82	163.66	155.82	505.63	-0.33	0.16	-2.13	3.31E-02	7.06E-02	NC
ENSG00000162496.9	DHRS3	17.14	39.46	84.76	78.54	98.57	287.41	-0.27	0.47	-0.57	5.70E-01	7.30E-01	NC
ENSG00000157330.10	C1orf158	0	8.46	0.64	0.38	0.07	28.18	5.17	1.61	3.2	1.40E-03	4.60E-03	NC
ENSG00000116731.22	PRDM2	93.03	63.42	114.87	141.18	113.45	584.86	0.62	0.14	4.36	0.00E+00	1.00E-04	NC
ENSG00000171729.14	TMEM51	16.32	4.93	33.32	35.07	26.5	100.94	-0.34	0.37	-0.92	3.59E-01	5.09E-01	NC
ENSG00000142621.19	FHAD1	37.95	47.92	34.17	35.76	27.6	275.68	1.73	0.26	6.74	0.00E+00	0.00E+00	NC
ENSG00000142634.13	EFHD2	55.49	39.11	459.92	306.87	351.95	816.46	-1.72	0.22	-7.9	0.00E+00	0.00E+00	NC
ENSG00000132906.18	CASP9	9.79	1.41	54	40.52	37.93	91.18	-1.93	0.68	-2.83	4.60E-03	1.33E-02	NC
ENSG00000116138.13	DNAJC16	9.38	9.51	39.1	36.92	33.93	101.7	-0.67	0.26	-2.59	9.60E-03	2.54E-02	NC
ENSG00000197312.12	DDI2	67.32	45.1	124.08	135	105.94	473.4	0.17	0.15	1.11	2.67E-01	4.01E-01	NC
ENSG00000116786.13	PLEKHM2	31.42	22.9	175.12	176.5	162.82	402.27	-1.37	0.14	-9.67	0.00E+00	0.00E+00	NC
ENSG00000233954.6	UQCRHL	4.08	7.75	1.47	1.23	1.25	26.73	3.28	0.77	4.26	0.00E+00	1.00E-04	NC
ENSG00000178715.8	AL450998.1	11.42	7.05	1.02	0.75	0.9	47.82	4.65	0.31	15	0.00E+00	0.00E+00	Up
ENSG00000065526.11	SPEN	117.92	86.32	184.51	188.32	169.14	793.28	0.46	0.09	4.85	0.00E+00	0.00E+00	NC
ENSG00000116809.11	ZBTB17	8.16	4.58	32.31	27.81	27.81	81.91	-0.89	0.33	-2.71	6.70E-03	1.84E-02	NC
ENSG00000142627.13	EPHA2	9.79	1.41	5.44	3.63	2.88	30.4	1.6	0.75	2.13	3.33E-02	7.11E-02	NC
ENSG00000037637.11	FBXO42	10.2	5.99	84.63	71.23	72.35	159.13	-1.96	0.27	-7.27	0.00E+00	0.00E+00	NC
ENSG00000055070.17	SZRD1	39.17	15.5	138.88	121.89	144.05	328.47	-1.21	0.43	-2.82	4.80E-03	1.39E-02	NC
ENSG00000157191.20	NECAP2	68.14	37.7	318.52	273.08	311	722.74	-1.28	0.2	-6.48	0.00E+00	0.00E+00	NC
ENSG00000219481.10	NBPF1	12.24	19.03	52.47	58.03	44.11	166.99	-0.34	0.33	-1.04	2.98E-01	4.39E-01	NC
ENSG00000215908.10	CROCCP2	8.16	3.52	29.12	29.38	30	78.96	-1.06	0.29	-3.68	2.00E-04	9.00E-04	NC
ENSG00000238142.2	BX284668.5	3.26	7.05	2.62	4.21	5.56	32.27	1.63	0.57	2.85	4.40E-03	1.29E-02	NC
ENSG00000117118.9	SDHB	89.76	70.82	107.23	112.26	101.43	550.91	0.81	0.22	3.64	3.00E-04	1.10E-03	NC
ENSG00000117115.13	PADI2	8.16	57.78	50.36	75.65	61.12	288.59	0.56	0.97	0.57	5.67E-01	7.27E-01	NC
ENSG00000179051.14	RCC2	7.34	21.85	58.25	58.32	63.03	172.57	-0.66	0.65	-1.01	3.11E-01	4.55E-01	NC
ENSG00000074964.17	ARHGEF10L	23.66	10.92	300.69	261.15	309.52	538.24	-2.82	0.23	-12.43	0.00E+00	0.00E+00	Down
ENSG00000127481.15	UBR4	112.61	75.05	327.43	426.41	329.89	1050.37	-0.64	0.16	-3.93	1.00E-04	4.00E-04	NC
ENSG00000127463.15	EMC1	14.69	6.34	118	103.32	126.34	235.02	-2.19	0.27	-8.27	0.00E+00	0.00E+00	Down
ENSG00000053372.5	MRTO4	4.9	4.23	34.29	36.55	36.83	78.42	-1.68	0.33	-5.13	0.00E+00	0.00E+00	NC
ENSG00000077549.18	CAPZB	102	33.47	282.77	264.41	282.11	744.11	-0.87	0.44	-1.98	4.83E-02	9.66E-02	NC
ENSG00000173436.15	MICOS10	4.08	7.75	14.12	14.03	15.05	55.01	0.07	0.31	0.21	8.33E-01	9.06E-01	NC
ENSG00000162542.13	TMCO4	17.14	2.82	43.06	35.57	38.4	107.4	-0.79	0.59	-1.35	1.78E-01	2.86E-01	NC
ENSG00000169914.6	OTUD3	11.42	6.34	13.77	17.1	12.07	65.3	0.57	0.31	1.88	5.99E-02	1.16E-01	NC
ENSG00000162543.6	UBXN10	16.32	33.12	32.02	17.8	5.73	147.66	1.64	0.75	2.19	2.83E-02	6.30E-02	NC
ENSG00000162545.6	CAMK2N1	17.14	0	0.2	0.31	0.41	37.13	5.85	1.5	3.91	1.00E-04	4.00E-04	NC
ENSG00000244038.9	DDOST	13.06	2.82	271.23	270.75	261.05	457.93	-3.82	0.43	-8.9	0.00E+00	0.00E+00	Down
ENSG00000127483.18	HP1BP3	108.12	128.96	308.65	329.52	324.35	1131.7	-0.09	0.22	-0.39	6.95E-01	8.19E-01	NC
ENSG00000075151.20	EIF4G3	124.85	64.13	99.6	87.38	87.57	594.81	1.26	0.24	5.35	0.00E+00	0.00E+00	NC
ENSG00000117298.16	ECE1	26.11	4.23	18.22	11.17	12.45	87.32	1.2	0.65	1.86	6.32E-02	1.21E-01	NC
ENSG00000162551.14	ALPL	6.53	3.52	1.27	2.43	0.19	27.53	3.24	0.94	3.44	6.00E-04	2.20E-03	NC
ENSG00000090686.16	USP48	57.12	31.71	80.02	77.91	82.87	345.2	0.41	0.15	2.83	4.60E-03	1.33E-02	NC
ENSG00000070831.17	CDC42	230.53	225.85	429.16	410.48	415.36	1825.37	0.43	0.12	3.47	5.00E-04	1.90E-03	NC
ENSG00000184677.18	ZBTB40	31.42	16.21	99.17	111.92	107.33	291.11	-0.86	0.22	-3.98	1.00E-04	3.00E-04	NC
ENSG00000173372.17	C1QA	119.14	113.81	1627.97	1359.04	1701.7	3028.83	-2.46	0.17	-14.71	0.00E+00	0.00E+00	Down
ENSG00000159189.12	C1QC	79.97	50.74	1130.49	931.57	961.57	1893.04	-2.69	0.17	-16.24	0.00E+00	0.00E+00	Down
ENSG00000173369.16	C1QB	130.16	288.57	1805.22	1625.24	1562.2	3735.46	-1.61	0.47	-3.42	6.00E-04	2.30E-03	NC
ENSG00000133216.16	EPHB2	10.61	0	0.95	4.87	0.92	27.92	2.4	1.53	1.57	1.16E-01	2.00E-01	NC
ENSG00000004487.16	KDM1A	13.46	41.22	116.6	110.39	135.66	331.92	-0.81	0.57	-1.42	1.54E-01	2.54E-01	NC
ENSG00000169641.13	LUZP1	22.03	45.8	83.7	87.55	77.87	313.53	0.09	0.55	0.16	8.75E-01	9.30E-01	NC
ENSG00000125944.20	HNRNPR	29.38	14.8	53.03	55.12	52.55	194.04	-0.01	0.16	-0.05	9.58E-01	9.78E-01	NC
ENSG00000204219.11	TCEA3	31.01	51.09	11.26	23.47	19.46	252.89	2.57	0.45	5.68	0.00E+00	0.00E+00	NC
ENSG00000142676.14	RPL11	785.83	1029.55	414.02	401.31	504.12	5517.79	2.4	0.28	8.72	0.00E+00	0.00E+00	Up
ENSG00000011007.12	ELOA	59.98	27.48	79.63	80.43	95.35	355.14	0.32	0.29	1.1	2.73E-01	4.08E-01	NC
ENSG00000057757.10	PITHD1	62.43	19.03	46.51	44.77	46.53	251.68	0.93	0.5	1.86	6.31E-02	1.21E-01	NC
ENSG00000011009.11	LYPLA2	5.71	9.87	69.42	59.76	65.37	144.69	-1.69	0.32	-5.28	0.00E+00	0.00E+00	NC
ENSG00000117308.15	GALE	22.44	7.05	49.39	40.8	31.63	138.71	-0.18	0.48	-0.37	7.14E-01	8.31E-01	NC
ENSG00000117305.15	HMGCL	8.57	16.91	62.33	59.25	61.65	173.79	-0.76	0.47	-1.62	1.04E-01	1.84E-01	NC
ENSG00000179163.11	FUCA1	22.03	49.33	196.76	217.38	178.09	497.27	-1.12	0.49	-2.29	2.21E-02	5.12E-02	NC
ENSG00000189266.13	PNRC2	55.08	60.6	94.33	99.33	96.59	456.15	0.59	0.28	2.13	3.32E-02	7.08E-02	NC
ENSG00000188529.15	SRSF10	52.23	52.85	132.26	138.53	129.77	479.78	-0.04	0.12	-0.29	7.69E-01	8.66E-01	NC
ENSG00000185436.12	IFNLR1	3.26	9.16	76.94	62.62	43.55	127.41	-1.95	0.59	-3.29	1.00E-03	3.50E-03	NC
ENSG00000001460.18	STPG1	4.08	4.58	35.69	19.21	25.19	59.71	-1.45	0.61	-2.38	1.72E-02	4.18E-02	NC
ENSG00000001461.17	NIPAL3	12.24	13.39	51.44	41.24	44.32	134.37	-0.54	0.25	-2.15	3.16E-02	6.87E-02	NC
ENSG00000117602.12	RCAN3	13.06	26.78	41.72	46.26	37.26	176.19	0.34	0.42	0.81	4.19E-01	5.77E-01	NC
ENSG00000133226.17	SRRM1	109.75	96.54	115.58	114.08	117.51	691.07	1.11	0.12	9.65	0.00E+00	0.00E+00	NC
ENSG00000169504.15	CLIC4	91.39	109.93	442.94	584.23	489.58	1347.14	-0.93	0.26	-3.59	3.00E-04	1.30E-03	NC
ENSG00000020633.18	RUNX3	15.1	2.11	25.06	29.33	22.4	85.58	-0.25	0.7	-0.35	7.23E-01	8.36E-01	NC
ENSG00000117614.10	SYF2	60.79	23.25	65.04	75	75.4	320.81	0.48	0.33	1.45	1.48E-01	2.46E-01	NC
ENSG00000284602.1	AL031432.4	13.87	0	0.66	0.96	1.16	31.02	3.95	1.42	2.79	5.30E-03	1.50E-02	NC
ENSG00000117616.18	RSRP1	53.86	19.73	205.92	197.59	208.97	501.27	-1.22	0.49	-2.49	1.27E-02	3.25E-02	NC
ENSG00000183726.11	TMEM50A	47.74	35.59	217.14	227.95	217.09	574.39	-1.07	0.16	-6.5	0.00E+00	0.00E+00	NC
ENSG00000204178.11	MACO1	7.34	11.98	38	37.54	38.98	115.89	-0.59	0.33	-1.81	7.07E-02	1.33E-01	NC
ENSG00000157978.11	LDLRAP1	8.16	7.4	62.9	64.18	38.03	125.86	-1.51	0.38	-4	1.00E-04	3.00E-04	NC
ENSG00000117643.14	MAN1C1	0.82	17.62	30.5	30.4	30.94	91.99	-0.51	1.19	-0.43	6.70E-01	8.02E-01	NC
ENSG00000162430.17	SELENON	13.87	4.23	327.48	249.5	202.85	445.16	-3.69	0.43	-8.5	0.00E+00	0.00E+00	Down
ENSG00000117640.18	MTFR1L	6.53	9.16	41.98	41.17	41.49	102.26	-1.09	0.25	-4.31	0.00E+00	1.00E-04	NC
ENSG00000117632.23	STMN1	21.22	23.61	199.3	230.55	250.83	468.5	-2.03	0.22	-9.17	0.00E+00	0.00E+00	Down
ENSG00000158006.14	PAFAH2	4.9	11.28	83.97	67.76	85.88	170.81	-1.86	0.46	-4.05	1.00E-04	2.00E-04	NC
ENSG00000130695.15	CEP85	8.16	4.23	52.78	49.26	45.94	106.57	-1.74	0.32	-5.5	0.00E+00	0.00E+00	NC
ENSG00000142669.15	SH3BGRL3	499	330.5	417.64	303.89	386.93	2667.68	1.44	0.15	9.32	0.00E+00	0.00E+00	NC
ENSG00000169442.9	CD52	132.6	439.37	425.42	435.75	384.8	2231.37	0.87	0.63	1.38	1.66E-01	2.71E-01	NC
ENSG00000117682.17	DHDDS	27.74	10.57	53.47	49.43	43.81	167.6	-0.14	0.37	-0.38	7.06E-01	8.26E-01	NC
ENSG00000198830.11	HMGN2	77.93	60.96	208.91	190.75	218.55	682.75	-0.26	0.13	-2	4.60E-02	9.36E-02	NC
ENSG00000117676.14	RPS6KA1	19.58	12.68	214.3	201.41	194.9	402.55	-2.37	0.18	-12.97	0.00E+00	0.00E+00	Down
ENSG00000117713.20	ARID1A	62.83	40.17	178.01	169.44	186.03	519.48	-0.56	0.18	-3.18	1.50E-03	4.90E-03	NC
ENSG00000204160.12	ZDHHC18	15.91	2.11	75.52	82.52	68.22	164.6	-1.76	0.69	-2.56	1.03E-02	2.71E-02	NC
ENSG00000142751.15	GPN2	9.79	0.7	34.09	32.31	35.03	79.37	-1.42	0.86	-1.66	9.63E-02	1.72E-01	NC
ENSG00000198746.13	GPATCH3	5.71	7.75	21.69	19.79	20.34	77.02	-0.07	0.5	-0.15	8.82E-01	9.34E-01	NC
ENSG00000090273.14	NUDC	16.32	26.07	80.09	68.31	80.53	232.91	-0.49	0.32	-1.55	1.22E-01	2.09E-01	NC
ENSG00000090020.11	SLC9A1	1.63	23.25	219.21	213.33	209.16	410.95	-2.54	1.15	-2.2	2.77E-02	6.18E-02	NC
ENSG00000142784.16	WDTC1	6.53	11.98	84.53	85.62	90.73	181.07	-1.97	0.57	-3.47	5.00E-04	1.90E-03	NC
ENSG00000142765.18	SYTL1	4.9	5.99	25.59	32.09	16	66.39	-0.86	0.45	-1.9	5.73E-02	1.12E-01	NC
ENSG00000142733.17	MAP3K6	4.9	3.52	17.69	24.76	7.62	44.97	-0.77	0.61	-1.27	2.06E-01	3.23E-01	NC
ENSG00000158195.11	WASF2	164.02	145.17	295.02	233.55	298.8	1220.62	0.46	0.15	3.06	2.20E-03	7.00E-03	NC
ENSG00000000938.13	FGR	204.41	135.65	471.95	439.14	308.31	1475.21	0	0.23	-0.02	9.87E-01	9.93E-01	NC
ENSG00000126709.15	IFI6	206.86	563.75	335.03	307.76	240.09	2553.59	1.77	0.56	3.15	1.60E-03	5.30E-03	NC
ENSG00000009780.15	FAM76A	9.79	5.29	20.4	23.92	19.18	65.41	-0.29	0.36	-0.79	4.30E-01	5.89E-01	NC
ENSG00000117758.14	STX12	115.47	80.33	329.27	288.29	301.42	964.24	-0.38	0.14	-2.64	8.30E-03	2.23E-02	NC
ENSG00000117751.18	PPP1R8	13.06	7.05	53.9	54.9	55.75	130.66	-1.19	0.24	-5.01	0.00E+00	0.00E+00	NC
ENSG00000130775.16	THEMIS2	52.23	81.39	572.12	540.3	617.66	1256.83	-1.76	0.37	-4.78	0.00E+00	0.00E+00	NC
ENSG00000117748.10	RPA2	23.26	13.39	61.85	66.55	70.85	188.99	-0.64	0.29	-2.19	2.86E-02	6.35E-02	NC
ENSG00000158161.16	EYA3	58.75	42.28	46.92	46.11	42.84	327.97	1.45	0.12	11.76	0.00E+00	0.00E+00	NC
ENSG00000169403.12	PTAFR	75.48	41.93	390.45	391.77	373.51	903.83	-1.42	0.16	-8.76	0.00E+00	0.00E+00	NC
ENSG00000126698.11	DNAJC8	42.03	42.28	109.77	111.06	114.97	387.49	-0.11	0.16	-0.72	4.71E-01	6.33E-01	NC
ENSG00000130770.18	ATP5IF1	12.24	11.28	16.2	15.08	15.95	89.03	0.89	0.22	4.1	0.00E+00	2.00E-04	NC
ENSG00000204138.13	PHACTR4	66.1	126.14	67.7	73.21	59.89	604.81	1.85	0.46	4.05	1.00E-04	2.00E-04	NC
ENSG00000200087.1	SNORA73B	4.9	3.52	0.75	0.5	0.64	23.9	4.06	0.43	9.37	0.00E+00	0.00E+00	Up
ENSG00000180098.9	TRNAU1AP	16.32	22.55	28.21	25.27	27.01	146.26	0.88	0.25	3.57	4.00E-04	1.40E-03	NC
ENSG00000197989.14	SNHG12	9.38	20.44	46.24	48.75	39.86	156.24	-0.15	0.45	-0.34	7.35E-01	8.44E-01	NC
ENSG00000120656.11	TAF12	13.46	14.8	31.75	31.32	36.19	128.43	0.1	0.23	0.44	6.58E-01	7.93E-01	NC
ENSG00000188060.7	RAB42	20.4	17.62	29.38	38.88	24.09	136.64	0.53	0.32	1.68	9.22E-02	1.66E-01	NC
ENSG00000162419.12	GMEB1	15.5	22.55	24.1	21.23	21.28	131.9	1.09	0.29	3.77	2.00E-04	7.00E-04	NC
ENSG00000198492.16	YTHDF2	20.4	10.57	130.52	123.71	118.63	277.6	-1.71	0.22	-7.9	0.00E+00	0.00E+00	NC
ENSG00000159023.21	EPB41	62.43	23.96	71.22	77.94	76.97	332.43	0.45	0.31	1.48	1.39E-01	2.33E-01	NC
ENSG00000116350.17	SRSF4	65.69	55.67	128.87	113.26	115.28	499.22	0.33	0.13	2.49	1.29E-02	3.28E-02	NC
ENSG00000162511.8	LAPTM5	294.99	274.48	1414.2	1264.58	1498.29	3635.89	-0.99	0.13	-7.71	0.00E+00	0.00E+00	NC
