tracking_id	Pos	Strand	Length	HV-2_COUNT	HV-4_COUNT	HV-6_COUNT	con-3_COUNT	con-4_COUNT	con-5_COUNT	HV-2_RPKM	HV-4_RPKM	HV-6_RPKM	con-3_RPKM	con-4_RPKM	con-5_RPKM
TCONS_00005995	chr1:208135761-208136263	+	503	10	3	3	4	0	4	344.966	163.942	142.736	131.139	0	193.293
TCONS_00006001	chr1:208490441-208490655	+	215	13	0	0	0	0	0	1049.18	0	0	0	0	0
TCONS_00006133	chr1:212796530-212797210	+	681	10	0	2	5	0	0	254.798	0	70.285	121.078	0	0
TCONS_00006159	chr1:213449694-213450329	+	636	17	7	3	6	0	0	463.805	302.537	112.887	155.573	0	0
TCONS_00006165	chr1:213457049-213457787	+	739	11	1	8	9	6	0	258.281	37.1957	259.075	200.835	185.613	0
TCONS_00006187	chr1:215670162-215670419	+	258	11	0	0	0	0	0	739.804	0	0	0	0	0
TCONS_00006219	chr1:218515867-218516494	+	628	11	2	13	5	2	0	303.932	87.5402	495.408	131.296	72.8068	0
TCONS_00006227	chr1:219001360-219001783	+	424	10	0	0	0	0	0	409.24	0	0	0	0	0
TCONS_00006247	chr1:219390757-219391316	+	560	14	8	15	9	6	1	433.794	392.68	641.037	265.03	244.943	43.4047
TCONS_00006258	chr1:219410445-219410772	+	328	9	5	4	1	1	0	476.116	419.019	291.854	50.2767	69.6992	0
TCONS_00006261	chr1:219420685-219421143	+	459	11	1	4	6	11	3	415.838	59.8859	208.558	215.566	547.875	158.867
TCONS_00006265	chr1:219443024-219443405	+	382	16	3	4	9	1	2	726.776	215.871	250.597	388.526	59.8464	127.26
TCONS_00006274	chr1:219484266-219484614	+	349	9	4	7	2	0	0	447.467	315.044	480.012	94.503	0	0
TCONS_00006275	chr1:219488052-219488886	+	835	14	3	3	6	10	2	290.928	98.758	85.9834	118.497	273.788	58.2195
TCONS_00006280	chr1:219501140-219501812	+	673	17	2	4	1	1	0	438.306	81.6869	142.241	24.5034	33.9693	0
TCONS_00006281	chr1:219503981-219504518	+	538	13	5	5	2	3	4	419.281	255.461	222.417	61.304	127.479	180.719
TCONS_00006286	chr1:219531881-219533233	+	1353	23	9	19	16	5	5	294.967	182.845	336.074	195.013	84.4838	89.825
TCONS_00006287	chr1:219538237-219538860	+	624	10	2	3	2	3	0	278.073	88.1014	115.058	52.855	109.91	0
TCONS_00006289	chr1:219565717-219565975	+	259	9	0	0	0	0	1	602.957	0	0	0	0	93.8481
TCONS_00006291	chr1:219585904-219586505	+	602	16	0	6	3	1	0	461.177	0	238.525	82.1799	37.9756	0
TCONS_00006479	chr1:227108155-227108569	+	415	10	2	0	4	0	0	418.115	132.471	0	158.947	0	0
TCONS_00006726	chr1:236073900-236074160	+	261	10	0	0	0	0	0	664.819	0	0	0	0	0
TCONS_00006727	chr1:236228773-236229901	+	1129	32	7	5	9	10	11	491.813	170.428	105.988	131.459	202.492	236.823
TCONS_00006728	chr1:236231078-236231467	+	390	7	0	0	0	0	0	311.442	0	0	0	0	0
TCONS_00006757	chr1:237071260-237071977	+	718	9	1	0	0	1	0	217.501	38.2836	0	0	31.8403	0
TCONS_00006868	chr1:247505730-247506460	+	731	12	0	1	2	4	1	284.844	0	32.7388	45.1184	125.096	33.2512
TCONS_00006930	chr1:249221136-249221984	+	849	14	4	6	9	10	2	286.131	129.506	169.131	174.814	269.274	57.2595
TCONS_00006977	chr1:756496-756988	-	493	11	0	4	6	2	6	387.159	0	194.175	200.699	92.7437	295.821
TCONS_00006978	chr1:757166-757769	-	604	12	5	6	3	6	6	344.737	227.547	237.735	81.9078	227.099	241.457
TCONS_00006979	chr1:757893-758787	-	895	12	4	9	12	3	7	232.649	122.85	240.657	221.105	76.6301	190.108
TCONS_00007216	chr1:6669684-6669939	-	256	13	2	2	2	2	0	881.145	214.747	186.969	128.834	178.604	0
TCONS_00007235	chr1:8066376-8066959	-	584	10	5	2	4	0	7	297.119	235.339	81.959	112.95	0	291.347
TCONS_00007485	chr1:14554807-14555014	-	208	14	0	0	0	0	0	1167.91	0	0	0	0	0
TCONS_00007487	chr1:14905319-14905565	-	247	11	1	0	3	0	0	772.751	111.286	0	200.293	0	0
TCONS_00007525	chr1:16418629-16419064	-	436	7	0	0	0	0	3	278.584	0	0	0	0	167.248
TCONS_00010562	chr1:145207562-145208039	-	478	12	1	2	3	1	0	435.609	57.5055	100.134	103.499	47.827	0
TCONS_00010575	chr1:145437636-145438096	-	461	11	0	0	3	0	0	414.034	0	0	107.315	0	0
TCONS_00010612	chr1:146008726-146008985	-	260	11	0	1	0	0	0	734.113	0	92.0463	0	0	0
TCONS_00010644	chr1:147106930-147107515	-	586	12	1	2	10	5	0	355.326	46.9072	81.6793	281.412	195.062	0
TCONS_00010837	chr1:151125230-151125488	-	259	9	0	0	0	0	0	602.957	0	0	0	0	0
TCONS_00011320	chr1:157089603-157090156	-	554	19	0	4	9	0	0	595.097	0	172.794	267.901	0	0
TCONS_00011363	chr1:158706440-158706733	-	294	10	0	0	0	0	0	590.196	0	0	0	0	0
TCONS_00011541	chr1:163066501-163067063	-	563	11	1	0	4	1	8	339.022	48.8235	0	117.164	40.6063	345.388
TCONS_00011569	chr1:164869392-164869625	-	234	8	0	0	1	0	0	593.223	0	0	70.4734	0	0
TCONS_00011588	chr1:165688311-165688792	-	482	10	0	1	0	0	3	359.995	0	49.6515	0	0	151.286
TCONS_00011955	chr1:180252929-180253277	-	349	11	0	2	14	5	4	546.904	0	137.146	661.521	327.526	278.586
TCONS_00012264	chr1:198528117-198528482	-	366	13	0	0	0	0	0	616.32	0	0	0	0	0
TCONS_00012266	chr1:198590113-198590409	-	297	10	0	0	0	0	0	584.235	0	0	0	0	0
TCONS_00012319	chr1:199448564-199449125	-	562	12	2	5	8	2	1	370.5	97.8207	212.918	234.744	81.357	43.2503
TCONS_00012321	chr1:199932949-199933191	-	243	10	2	0	0	0	0	714.065	226.236	0	0	0	0
TCONS_00012436	chr1:203296196-203296483	-	288	10	0	1	3	3	2	602.492	0	83.0973	171.779	238.139	168.796
TCONS_00012526	chr1:205672216-205672817	-	602	9	3	1	7	5	0	259.412	136.982	39.7542	191.753	189.878	0
TCONS_00012549	chr1:206085759-206086213	-	455	14	1	2	5	7	3	533.901	60.4124	105.196	181.217	351.713	160.264
TCONS_00012612	chr1:208011754-208012968	-	1215	37	12	20	15	10	0	528.408	271.483	393.943	203.59	188.159	0
TCONS_00012624	chr1:208034228-208035284	-	1057	21	12	18	14	17	3	344.737	312.064	407.546	218.421	367.684	68.9877
TCONS_00012653	chr1:209016155-209016466	-	312	6	0	0	0	0	0	333.688	0	0	0	0	0
TCONS_00012670	chr1:210034784-210035208	-	425	11	0	0	1	0	0	449.105	0	0	38.8018	0	0
TCONS_00012671	chr1:210043093-210043298	-	206	10	0	0	0	0	0	842.319	0	0	0	0	0
TCONS_00012744	chr1:214160236-214160933	-	698	9	3	8	7	11	1	223.733	118.142	274.293	165.38	360.279	34.8233
TCONS_00012955	chr1:225957160-225957588	-	429	10	0	0	2	0	0	404.47	0	0	76.88	0	0
TCONS_00013004	chr1:227008572-227008962	-	391	10	0	3	0	0	0	443.779	0	183.622	0	0	0
TCONS_00013102	chr1:229285155-229285503	-	349	16	0	4	0	0	0	795.497	0	274.293	0	0	0
TCONS_00013167	chr1:232750933-232751667	-	735	10	8	3	6	4	2	236.079	299.185	97.6818	134.618	124.415	66.1406
TCONS_00013334	chr1:244010194-244010596	-	403	27	6	14	9	12	14	1162.53	409.245	831.386	368.28	680.734	844.4
TCONS_00013339	chr1:244272999-244273626	-	628	10	0	0	2	0	0	276.302	0	0	52.5184	0	0
TCONS_00013340	chr1:244277187-244277491	-	305	11	0	0	2	0	0	625.802	0	0	108.136	0	0
TCONS_00014470	chr1:148752060-148752301	+	242	6	9	4	2	1	1	430.209	1022.27	395.571	136.287	94.4683	100.441
TCONS_00014485	chr1:151119386-151119948	+	563	8	10	0	2	6	9	246.562	488.235	0	58.5818	243.638	388.561
TCONS_00014669	chr1:186448362-186448855	+	494	1	10	1	0	0	1	35.125	556.43	48.4454	0	0	49.2038
TCONS_00014673	chr1:188215085-188215730	+	646	0	11	1	1	0	0	0	468.056	37.0465	25.5275	0	0
TCONS_00014675	chr1:193232431-193233251	+	821	8	17	9	16	11	5	169.079	569.171	262.349	321.379	306.303	148.031
TCONS_00014678	chr1:193248704-193249163	+	460	6	10	6	4	7	1	226.327	597.557	312.157	143.398	347.89	52.8405
TCONS_00014695	chr1:201526417-201526935	+	519	3	11	2	8	9	3	100.299	582.589	92.2236	254.193	396.439	140.501
TCONS_00014748	chr1:206482510-206482835	+	326	3	9	6	21	2	4	159.679	758.861	440.467	1062.29	140.254	298.241
TCONS_00014761	chr1:207545966-207546906	+	941	7	14	10	13	3	6	129.078	408.955	254.326	227.821	72.8841	154.984
TCONS_00014789	chr1:219391024-219391756	+	733	7	14	9	13	11	5	165.706	525.002	293.845	292.469	343.076	165.803
TCONS_00014795	chr1:219407792-219408293	+	502	13	10	4	3	3	0	449.349	547.562	190.693	98.5504	136.621	0
TCONS_00014797	chr1:219409171-219409599	+	429	17	12	8	6	3	2	687.599	768.885	446.285	230.64	159.869	113.318
TCONS_00014806	chr1:219450364-219451357	+	994	7	10	11	23	9	6	122.196	276.536	264.841	381.577	206.994	146.72
TCONS_00014810	chr1:219483810-219484105	+	296	0	10	5	4	2	2	0	928.636	404.257	222.848	154.468	164.234
TCONS_00014812	chr1:219559188-219559502	+	315	0	9	0	1	2	0	0	785.361	0	52.3516	145.151	0
TCONS_00014825	chr1:224384552-224385012	+	461	5	12	11	2	2	3	188.197	715.513	571.046	71.5434	99.1814	158.178
TCONS_00014826	chr1:224518256-224518580	+	325	1	9	3	4	2	1	53.3901	761.196	220.911	202.963	140.685	74.7897
TCONS_00015788	chr1:175902414-175903199	-	786	10	13	7	12	18	6	220.76	454.63	213.135	251.767	523.542	185.547
TCONS_00015801	chr1:180246504-180247174	-	671	16	14	8	8	18	7	413.753	573.512	285.33	196.611	613.269	253.572
TCONS_00015911	chr1:206079168-206079904	-	737	6	11	16	7	5	10	141.263	410.263	519.556	156.629	155.097	329.805
TCONS_00015915	chr1:206109767-206110021	-	255	2	10	5	0	1	0	136.092	1077.95	469.256	0	89.6522	0
TCONS_00015917	chr1:206124911-206125234	-	324	0	14	0	8	6	0	0	1187.74	0	407.179	423.358	0
TCONS_00016009	chr1:227729324-227729859	-	536	4	11	2	1	10	8	129.491	564.112	89.2986	30.7664	426.517	362.786
TCONS_00016050	chr1:238618426-238618688	-	263	0	10	0	0	0	0	0	1045.16	0	0	0	0
TCONS_00016052	chr1:241653379-241653953	-	575	2	14	13	10	0	3	60.354	669.264	541.072	286.796	0	126.817
TCONS_00017099	chr1:161104828-161105297	+	470	8	1	19	4	9	1	295.349	58.4843	967.465	140.347	437.77	51.7163
TCONS_00017108	chr1:162574858-162575694	+	837	2	9	18	8	8	6	41.4618	295.566	514.667	157.618	218.507	174.241
TCONS_00017140	chr1:167763344-167763702	+	359	1	5	10	1	6	0	48.3336	382.836	666.63	45.9353	382.083	0
TCONS_00017227	chr1:178897556-178898514	+	959	7	4	14	8	3	7	126.655	114.651	349.373	137.566	71.5161	177.421
TCONS_00017256	chr1:184048281-184048584	+	304	0	1	10	2	2	7	0	90.4198	787.238	108.492	150.403	559.693
TCONS_00017279	chr1:188113028-188114026	+	1158	6	21	24	20	26	9	89.9056	498.48	496.001	284.815	513.294	188.912
TCONS_00017280	chr1:188115969-188116454	+	486	3	1	14	3	0	0	107.11	56.5589	689.4	101.795	0	0
TCONS_00017281	chr1:188117385-188117760	+	376	3	1	12	6	2	0	138.445	73.1054	763.788	263.151	121.603	0
TCONS_00017282	chr1:188137361-188137723	+	363	0	2	10	2	1	0	0	151.447	659.285	90.8582	62.9789	0
TCONS_00017283	chr1:188140734-188141731	+	998	8	3	12	4	0	6	139.092	82.6281	287.76	66.0953	0	146.132
TCONS_00017291	chr1:193226890-193228362	+	1473	46	22	62	35	22	28	541.875	410.542	1007.32	391.838	341.445	462.041
TCONS_00017293	chr1:193248459-193248952	+	494	7	10	15	2	3	1	245.875	556.43	726.681	66.7642	138.834	49.2038
TCONS_00017301	chr1:201508641-201509599	+	959	27	12	31	35	11	36	488.527	343.954	773.611	601.853	262.226	912.45
TCONS_00017306	chr1:201527878-201529064	+	1187	11	6	18	15	1	7	160.8	138.943	362.912	208.392	19.2597	143.342
TCONS_00017345	chr1:205785620-205786513	+	894	7	14	18	13	7	2	135.864	430.455	481.853	239.799	179.004	54.3773
TCONS_00017367	chr1:208138973-208140545	+	2277	55	52	44	73	47	65	419.125	627.737	462.455	528.689	471.885	693.866
TCONS_00017388	chr1:213456862-213457406	+	545	5	0	12	3	8	0	159.191	0	526.944	90.7749	335.579	0
TCONS_00017407	chr1:219500649-219501450	+	802	13	4	14	5	1	3	281.263	137.095	417.766	102.81	28.5054	90.9226
TCONS_00017410	chr1:219532598-219533407	+	810	21	6	15	10	5	3	449.861	203.612	443.186	203.59	141.119	90.0246
TCONS_00017411	chr1:219535983-219536510	+	528	8	2	10	7	1	0	262.906	104.12	453.258	218.628	43.298	0
TCONS_00017412	chr1:219540817-219541124	+	308	3	0	10	3	3	6	169.011	0	777.014	160.624	222.675	473.506
TCONS_00017416	chr1:219590708-219591251	+	544	2	0	9	0	0	2	63.7933	0	395.934	0	0	89.3627
TCONS_00017431	chr1:224384683-224385206	+	524	3	4	11	4	1	4	99.3422	209.829	502.39	125.884	43.6285	185.547
TCONS_00017450	chr1:228291588-228291945	+	358	2	0	12	3	7	3	96.9373	0	802.191	138.191	447.009	203.687
TCONS_00017452	chr1:229444263-229445140	+	878	2	12	19	7	0	2	39.5257	375.685	517.891	131.475	0	55.3682
TCONS_00017488	chr1:244014130-244014894	+	765	11	9	9	6	4	4	249.503	323.384	281.553	129.339	119.536	127.094
TCONS_00018273	chr1:150036912-150037214	-	303	0	0	10	0	0	0	0	0	789.836	0	0	0
TCONS_00018301	chr1:154973938-154974246	-	309	7	5	10	5	9	8	393.082	444.784	774.499	266.841	665.864	629.298
TCONS_00018435	chr1:180251024-180251530	-	507	8	3	12	6	5	8	273.795	162.649	566.439	195.157	225.457	383.537
TCONS_00018509	chr1:199480958-199481182	-	225	0	1	13	3	0	0	0	122.167	1382.74	219.877	0	0
TCONS_00018542	chr1:205610311-205611034	-	724	9	7	11	9	1	6	215.699	265.764	363.608	204.996	31.5764	201.436
TCONS_00018554	chr1:206077161-206078216	-	1056	20	8	21	16	14	8	328.632	208.24	475.921	249.86	303.086	184.141
TCONS_00018555	chr1:206078593-206079102	-	510	21	10	16	19	13	14	714.485	538.973	750.809	614.362	582.74	667.241
TCONS_00018558	chr1:206084205-206084631	-	427	1	6	11	1	2	3	40.6365	386.243	616.516	38.6201	107.079	170.773
TCONS_00018563	chr1:206106119-206106805	-	687	8	1	20	9	0	2	202.058	40.0111	696.711	216.036	0	70.7617
TCONS_00018575	chr1:208023043-208024099	-	1057	35	7	17	26	17	1	574.562	182.037	384.905	405.638	367.684	22.9959
TCONS_00018635	chr1:226166137-226166509	-	373	1	1	10	0	5	4	46.5195	73.6934	641.609	0	306.452	260.661
TCONS_00018659	chr1:232756487-232756795	-	309	8	4	10	2	1	3	449.237	355.827	774.499	106.736	73.9849	235.987
TCONS_00018678	chr1:236375290-236375689	-	400	14	6	9	17	7	4	607.312	412.314	538.471	700.858	400.073	243.067
TCONS_00018876	chr1:8877936-8878757	+	822	5	9	4	15	9	9	105.546	300.959	116.458	300.926	250.306	266.131
TCONS_00018890	chr1:10447554-10447879	+	326	2	5	3	7	1	0	106.453	421.589	220.233	354.096	70.1268	0
TCONS_00018916	chr1:14008603-14009028	+	426	0	0	0	12	0	0	0	0	0	464.529	0	0
TCONS_00019958	chr1:144018701-144019048	+	348	26	38	44	55	28	21	1296.4	3001.52	3025.89	2606.3	1839.42	1466.78
TCONS_00019965	chr1:144069561-144070044	+	484	9	6	11	12	2	3	322.657	340.756	543.91	408.862	94.4683	150.661
TCONS_00020048	chr1:152001909-152002301	+	393	11	1	5	12	2	3	485.673	69.9431	304.479	503.535	116.343	185.547
TCONS_00020049	chr1:152014345-152015328	+	984	3	2	1	14	0	0	52.9017	55.8692	24.3212	234.625	0	0
TCONS_00020050	chr1:152948953-152949156	+	204	1	0	0	10	0	0	85.0577	0	0	808.371	0	0
TCONS_00020081	chr1:157585600-157585944	+	345	0	0	0	10	0	0	0	0	0	477.993	0	0
TCONS_00020101	chr1:159833761-159834185	+	425	1	1	2	10	7	0	40.8277	64.6768	112.621	388.018	376.539	0
TCONS_00020102	chr1:159834261-159835070	+	810	10	1	4	18	0	0	214.219	33.9353	118.183	366.461	0	0
TCONS_00020103	chr1:160119535-160119832	+	298	1	0	0	15	0	0	58.2274	0	0	830.072	0	0
TCONS_00020178	chr1:162582207-162582548	+	342	4	6	0	8	1	2	202.945	482.239	0	385.749	66.846	142.144
TCONS_00020186	chr1:163631319-163631717	+	399	0	0	0	10	0	0	0	0	0	413.302	0	0
TCONS_00020225	chr1:165884126-165885363	+	1238	10	12	23	14	14	14	140.16	266.439	444.618	186.487	258.529	274.873
TCONS_00020228	chr1:165888007-165888764	+	758	10	0	11	17	0	4	228.915	0	347.299	369.846	0	128.267
TCONS_00020287	chr1:170738348-170738828	+	481	2	0	0	11	0	0	72.1487	0	0	377.128	0	0
TCONS_00020440	chr1:184049287-184049787	+	501	0	0	0	13	3	2	0	0	0	427.904	136.894	97.0325
TCONS_00020441	chr1:184051057-184051533	+	477	3	0	1	10	6	2	109.131	0	50.172	345.718	287.564	101.915
TCONS_00020443	chr1:184058363-184058971	+	609	0	4	1	12	7	0	0	180.543	39.2973	324.941	262.774	0
TCONS_00020458	chr1:185337569-185337956	+	388	2	3	0	10	0	0	89.4421	212.533	0	425.02	0	0
TCONS_00020460	chr1:185616136-185616392	+	257	0	0	0	10	0	0	0	0	0	641.664	0	0
TCONS_00020482	chr1:186538632-186539002	+	371	0	0	2	10	1	1	0	0	129.014	444.495	61.6208	65.5166
TCONS_00020487	chr1:188336021-188336695	+	675	0	4	3	10	7	11	0	162.89	106.365	244.308	237.08	396.108
TCONS_00020488	chr1:189503724-189504189	+	466	0	0	0	11	0	0	0	0	0	389.267	0	0
TCONS_00020489	chr1:192201452-192201746	+	295	0	0	0	11	0	0	0	0	0	614.91	0	0
TCONS_00020512	chr1:193258205-193258829	+	625	3	15	2	13	4	4	83.2885	659.703	76.5825	343.008	146.312	155.563
TCONS_00020515	chr1:196053659-196053904	+	246	0	1	0	14	0	0	0	111.738	0	938.499	0	0
TCONS_00020518	chr1:197909615-197910036	+	422	0	0	0	11	0	1	0	0	0	429.854	0	57.5987
TCONS_00020533	chr1:198383714-198383967	+	254	0	0	0	10	0	0	0	0	0	649.243	0	0
TCONS_00020535	chr1:199711979-199712206	+	228	2	0	0	10	0	0	152.209	0	0	723.279	0	0
TCONS_00020544	chr1:201513444-201514441	+	998	10	12	8	16	3	9	173.865	330.513	191.84	264.381	68.7214	219.198
TCONS_00020595	chr1:205787523-205787960	+	438	1	7	6	10	4	4	39.6159	439.3	327.836	376.501	208.779	221.979
TCONS_00020611	chr1:206488424-206489276	+	853	2	17	4	11	5	7	40.6841	547.819	112.225	212.659	134.005	199.468
TCONS_00020620	chr1:206910934-206911717	+	784	23	4	5	18	9	0	509.044	140.243	152.628	378.615	262.439	0
TCONS_00020627	chr1:208135100-208135837	+	738	6	0	4	11	6	4	141.071	0	129.713	245.797	185.864	131.743
TCONS_00020630	chr1:208742418-208742639	+	222	0	0	4	10	0	0	0	0	431.208	742.827	0	0
TCONS_00020646	chr1:211495483-211496047	+	565	0	0	0	10	1	0	0	0	0	291.872	40.4625	0
TCONS_00020653	chr1:212285078-212285409	+	332	8	0	1	14	0	0	418.115	0	72.0844	695.394	0	0
TCONS_00020667	chr1:213451659-213452208	+	550	5	3	4	14	7	0	157.743	149.933	174.051	419.765	290.962	0
TCONS_00020676	chr1:214840019-214840365	+	347	1	5	1	10	1	1	50.0051	396.075	68.9684	475.238	65.8828	70.048
TCONS_00020684	chr1:218513652-218514089	+	438	7	0	0	10	4	3	277.311	0	0	376.501	208.779	166.484
TCONS_00020685	chr1:218515318-218515727	+	410	4	1	0	12	5	0	169.286	67.043	0	482.657	278.797	0
TCONS_00020699	chr1:219400200-219401419	+	1220	46	15	29	42	14	15	654.247	337.963	568.876	567.715	262.343	298.852
TCONS_00020702	chr1:219412086-219412774	+	689	0	2	0	17	3	3	0	79.7899	0	406.884	99.5413	105.834
TCONS_00020708	chr1:219440513-219442777	+	2265	31	26	12	31	18	17	237.486	315.531	126.792	225.701	181.679	182.434
TCONS_00020709	chr1:219444876-219445561	+	686	4	4	1	12	3	5	101.177	160.278	34.8863	288.468	99.9766	177.162
TCONS_00020712	chr1:219469632-219470619	+	988	1	7	18	22	7	12	17.5625	194.75	436.009	367.203	161.973	295.223
TCONS_00020717	chr1:219495519-219496569	+	1051	12	1	9	16	3	0	198.117	26.1538	204.937	251.049	65.2559	0
TCONS_00020718	chr1:219507755-219508736	+	982	14	0	1	11	3	0	247.378	0	24.3707	184.723	69.8411	0
TCONS_00020724	chr1:219554766-219555177	+	412	0	2	3	11	2	1	0	133.435	174.262	440.287	110.977	58.9967
TCONS_00020726	chr1:219578276-219579094	+	819	4	6	1	12	2	0	84.7461	201.375	29.221	241.623	55.8274	0
TCONS_00020727	chr1:219587595-219588141	+	547	10	0	4	15	3	1	317.217	0	175.006	452.215	125.382	44.4363
TCONS_00020745	chr1:221100066-221100358	+	293	0	0	0	10	0	0	0	0	0	562.825	0	0
TCONS_00020746	chr1:221366212-221366591	+	380	0	0	0	10	0	0	0	0	0	433.968	0	0
TCONS_00020825	chr1:229800232-229801015	+	784	4	6	2	14	0	2	88.5295	210.365	61.0511	294.478	0	62.0068
TCONS_00020830	chr1:231493074-231493800	+	727	20	17	9	18	16	22	477.353	642.764	296.27	408.3	503.138	735.552
TCONS_00020898	chr1:246934240-246934813	+	574	13	16	18	13	8	7	392.984	766.206	750.482	373.484	318.625	296.423
TCONS_00020906	chr1:247497936-247498358	+	423	4	4	4	15	8	8	164.083	259.93	226.308	584.779	432.365	459.7
TCONS_00020908	chr1:247501868-247502449	+	582	16	4	6	14	1	7	477.025	188.918	246.722	396.685	39.2806	292.348
TCONS_00020909	chr1:247502761-247503377	+	617	8	5	1	10	6	0	224.982	222.752	38.7877	267.273	222.314	0
TCONS_00020918	chr1:758328-759311	-	984	22	2	11	20	9	4	387.946	55.8692	267.533	335.178	209.097	98.8075
TCONS_00020953	chr1:6672496-6672922	-	427	2	2	6	13	5	2	81.2729	128.748	336.281	502.061	267.697	113.848
TCONS_00021109	chr1:14024748-14025140	-	393	0	3	2	12	2	1	0	209.829	121.792	503.535	116.343	61.849
TCONS_00022109	chr1:147539445-147539713	-	269	2	2	4	12	0	2	129.009	204.369	355.867	735.648	0	180.719
TCONS_00022112	chr1:148005774-148006054	-	281	0	0	1	12	2	0	0	0	85.1674	704.232	162.714	0
TCONS_00022238	chr1:158689002-158689357	-	356	0	0	0	12	0	1	0	0	0	555.868	0	68.2771
TCONS_00022239	chr1:158715858-158716426	-	569	0	1	0	12	0	0	0	48.3087	0	347.784	0	0
TCONS_00022249	chr1:162804589-162804949	-	361	3	3	4	10	0	1	144.198	228.429	265.175	456.808	0	67.3314
TCONS_00022322	chr1:173964754-173965027	-	274	5	2	3	12	1	0	316.638	200.64	262.03	722.223	83.4355	0
TCONS_00022372	chr1:180247298-180248076	-	779	6	13	19	21	7	14	133.647	458.715	583.708	444.552	205.429	436.833
TCONS_00022381	chr1:181367806-181368212	-	407	0	0	0	11	0	0	0	0	0	445.696	0	0
TCONS_00022383	chr1:183591974-183592271	-	298	4	6	6	12	6	4	232.91	553.442	481.853	664.058	460.295	326.264
TCONS_00022399	chr1:192431298-192431602	-	305	2	0	0	10	0	0	113.782	0	0	540.681	0	0
TCONS_00022400	chr1:192861865-192862678	-	814	3	0	10	9	3	0	63.95	0	294.005	182.33	84.2555	0
TCONS_00022466	chr1:200352979-200353451	-	473	0	0	3	10	1	0	0	0	151.789	348.642	48.3326	0
TCONS_00022475	chr1:201506217-201506930	-	714	3	6	8	10	7	3	72.9066	230.988	268.146	230.963	224.131	102.129
TCONS_00022496	chr1:205187754-205188107	-	354	0	0	0	12	0	0	0	0	0	559.009	0	0
